Strain_ID,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,Ensifer_BM17,Massilia_Z16,Exiguobacterium_RDH25,Bacillus_SCH24,Paenibacillus_E12,Cellulosimicrobium_BM1,Microbacterium_BM4,Luteibacter_BM7,Dyadobacter_BM9,Chryseobacterium_SCH11
Pseudomonas_putida_KT2442,0,0,0,0,0,0,0,0,0,0,0,1
Streptomyces_RCH20P,0,0,2,-1,0,-1,0,0,0,0,0,0
Ensifer_BM17,-1,-1,2,-1,1,-2,1,1,1,1,-3,-2
Massilia_Z16,-1,0,0,0,0,-4,0,0,0,0,0,0
Exiguobacterium_RDH25,0,-1,0,2,0,-3,0,0,0,0,0,0
Bacillus_SCH24,0,-5,0,-1,1,0,0,0,0,0,0,0
Paenibacillus_E12,0,0,0,0,0,0,0,0,0,0,0,0
Cellulosimicrobium_BM1,0,0,0,0,1,-5,0,0,0,0,0,0
Microbacterium_BM4,-1,0,0,-3,0,-5,-1,0,0,0,0,0
Luteibacter_BM7,0,0,0,0,0,0,0,0,0,0,0,1
Dyadobacter_BM9,0,0,0,0,0,0,0,0,0,0,0,0
Chryseobacterium_SCH11,0,0,0,0,0,-1,0,0,0,0,0,0
