Strain_ID,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,Ensifer_BM17,Massilia_Z16,Exiguobacterium_RDH25,Bacillus_SCH24,Paenibacillus_E12,Cellulosimicrobium_BM1,Microbacterium_BM4,Luteibacter_BM7,Dyadobacter_BM9,Chryseobacterium_SCH11
Pseudomonas_putida_KT2442,0,0,0,0,0,0,0,0,0,0,1,3
Streptomyces_RCH20P,0,0,2,0,0,-1,0,0,0,0,0,0
Ensifer_BM17,-1,0,0,-1,1,-2,1,1,0,0,-2,-1
Massilia_Z16,0,0,0,2,4,0,0,0,0,0,1,0
Exiguobacterium_RDH25,0,0,0,2,0,-3,0,1,0,0,0,1
Bacillus_SCH24,0,-5,0,-1,1,0,0,0,0,0,0,0
Paenibacillus_E12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cellulosimicrobium_BM1,2,0,0,0,1,-9,0,0,0,0,0,0
Microbacterium_BM4,0,-3,0,0,0,-6,-1,0,0,0,0,0
Luteibacter_BM7,0,0,0,0,0,0,0,0,0,0,0,0
Dyadobacter_BM9,0,0,0,0,0,-4,0,0,0,0,0,-3
Chryseobacterium_SCH11,0,0,0,0,0,-1,0,0,0,0,0,0
