Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_RDP22,Pseudomonas_RDP27,Pseudomonas_E5,Pseudomonas_RPE1
Pseudomonas_putida_KT2442,N/A,8,0,0,0
Streptomyces_RCH20P,0,0,-1,-2,0
Ensifer_BM17,-1,1,-3,-5,-3
Sphingobium_Z2,-1,10,-4,-8,-3
Burkholderia_RCH25,0,0,0,0,0
Exiguobacterium_RDH25,2,1,3,-2,6
Bacillus_SCH24,0,0,0,-4,0
Cellulosimicrobium_BM1,0,0,0,-7,-2
Luteibacter_BM7,-1,3,0,-5,-6
Chryseobacterium_SCH11,-6,0,-4,-4,-5
Dyadobacter_BM9,N/A,N/A,N/A,N/A,N/A
Variovax_RPC5,N/A,N/A,N/A,N/A,N/A
Methylobacterium_RPE3,N/A,N/A,N/A,N/A,N/A
Paenibacillus_E12,N/A,N/A,N/A,N/A,N/A
Microbacterium_BM4,N/A,N/A,N/A,N/A,N/A
Massilia_sp,N/A,N/A,N/A,N/A,N/A
