Strain_ID,KT2442,E5,RPA1,BM7,BM12,BM25,R23,E15,BM23,E4,Z2,RP5C,RCH25,RDH25,SCH24,RCH20P,BM16,BM13,BM1,SCH4,RDH6,RP5H,SCH11,,,,,,
KT2442,NA,-2,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,,,,,,
E5,-2,NA,-1,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-2,0,0,,,,,,
RPA1,-1,-2,NA,0,0,0,0,0,0,-2,0,-1,-2,0,0,0,0,0,0,0,0,0,0,,,,,,
BM7,-7,-6,-3,NA,0,-2,0,-2,-3,-2,-1,-2,10,0,0,-2,0,3,0,-2,-3,-1,-3,,,,,,
BM12,-7,-8,-10,0,NA,0,0,-2,-4,-2,0,-2,-5,0,0,0,0,0,0,-1,0,0,0,,,,,,
BM25,0,-3,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
R23,-3,-6,-6,-1,-1,-1,NA,-6,0,0,-1,-4,-6,2,0,-1,-2,0,0,0,-3,0,-2,,,,,,
E15,-6,-3,0,0,0,0,0,NA,-4,-1,0,0,-8,0,0,0,0,0,0,3,-2,0,2,,,,,,
BM23,-7,-7,-10,0,0,-3,0,0,NA,-3,0,-10,-10,-1,-3,0,2,0,0,0,-1,-1,0,,,,,,
E4,0,3,0,0,0,0,0,0,0,NA,0,0,0,0,-4,0,0,0,0,0,0,0,0,,,,,,
Z2,-3,-7,-2,0,0,-2,0,2,2,0,NA,-1,-3,0,0,-1,0,2,0,0,-1,0,0,,,,,,
RP5C,-1,-5,0,0,0,0,0,-2,0,0,0,NA,-4,1,-2,-1,0,2,4,0,-2,0,0,,,,,,
RCH25,-1,-2,0,0,0,0,0,0,0,0,0,0,NA,2,0,0,0,4,0,0,0,0,0,,,,,,
RDH25,-2,-1,0,0,1,3,1,0,0,0,1,-2,2,NA,-1,0,0,0,0,0,0,0,-1,,,,,,
SCH24,-5,-5,0,-5,5,0,2,-2,0,2,1,-9,-6,0,NA,0,0,0,0,0,2,0,-3,,,,,,
RCH20P,-3,-4,0,0,0,0,0,0,0,0,0,0,-5,0,0,NA,0,0,0,0,0,0,0,,,,,,
BM16,-3,-5,-1,0,0,0,0,-2,-1,-1,0,-2,-2,0,-2,-2,NA,-1,0,0,-1,0,0,,,,,,
BM13,-3,-8,0,0,1,-3,0,-1,0,-1,2,-1,-3,-1,-8,-5,-2,NA,0,-2,-1,0,-2,,,,,,
BM1,0,-10,-2,0,3,3,0,0,0,-1,3,0,5,0,-3,0,0,-1,NA,0,-1,0,0,,,,,,
SCH4,-3,-10,0,0,0,1,3,0,-2,0,0,-3,-5,4,-8,-4,0,-1,0,NA,-1,0,0,,,,,,
RDH6,-5,-10,-10,0,0,0,0,0,0,0,2,2,0,0,-8,0,0,-2,0,0,NA,0,0,,,,,,
RP5H,-1,-10,0,0,0,0,0,0,0,0,0,-3,-6,-3,-8,-10,-1,-4,-2,2,-4,NA,0,,,,,,
SCH11,-5,-4,-1,0,0,-1,0,0,0,-2,0,-1,0,4,-2,0,0,0,0,0,0,0,NA,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,529,total,,,
,,,,,,,,,,,,,,,,,,,,,,,,,23,NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,506,total - NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,305,zero's,,60.28%,% neutral
,,,,,,,,,,,,,,,,,,,,,,,,,163,Inhib,,32.21%,% inhib
,,,,,,,,,,,,,,,,,,,,,,,,,38,stim,,7.51%,% stim
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,506,total,,,
