Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_E-05,Lysobacter_E-22,Luteibacter_E-23,Stenotrophomonas_R-24,Dyella_R-26,Enterobacter_R-25,Variovorax_R-27,Acidovorax_R-28,Massilia_S-14,Massilia_R-31,Ralstonia_R-29,Burkholderia_R-30,Ensifer_E-15,Ensifer_R-19,Agrobacterium_E-04,Methylobacterium_R-20,Sphingobium_R-21,Exiguobacterium_R-17,Bacillus_S-18,Paenibacillus_E-12,Nocardioides_E-09,Cellulosimicrobium_E-16,Micrococcus_S-10,Microbacterium_E-13,Arthrobacter_R-11,Streptomyces_R-07,Streptomyces_E-08,Hymenobacter_R-03,Dyadobacter_E-01,Chryseobacterium_S-02,Pedobacter_R-06
Pseudomonas_putida_KT2442,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas_E-05,0,0,0,3,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,10,0,0,5,10,0,0,0,0,0,0
Lysobacter_E-22,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,0
Luteibacter_E-23,0,0,0,0,3,0,0,0,0,0,1,-1,-1,0,0,0,0,0,-2,0,1,0,0,0,0,-1,-1,-1,0,0,0,0
Stenotrophomonas_R-24,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0
Dyella_R-26,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-2,0,0,0,-1,0,-3,-2,-1,0,0,0,0
Enterobacter_R-25,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
Variovorax_R-27,-1,-4,0,-1,-3,-7,-1,0,-1,-1,-5,-6,-2,-3,-5,-3,0,1,-4,-7,-1,-1,0,-2,-1,-2,-1,-1,-1,0,-1,-7
Acidovorax_R-28,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-2,-1,0,-1,0,0,-5,0,0,0,0,0,0
Massilia_S-14,0,0,0,0,0,0,0,0,0,0,-1,10,-1,-1,-1,0,0,0,0,-1,3,0,0,0,0,-2,-1,-1,0,0,0,-1
