Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_RDP22,Pseudomonas_RDP27,Pseudomonas_E5,Pseudomonas_RP5,Luteibacter_BM7,Lysobacter_BM12,Stenotrophomonas_BM25,Dyella_R23,Rhodanobacteraceae_S20,Enterobacter_RPA1,Variovax_RPC5,Massilia_SH9,Burkholderia_RCH25,Ensifer_E15,Ensifer_BM23,Agrobacterium_E4,Methylobacterium_RPE3,Sphingobium_Z2,Exiguobacterium_RDH25,Bacillus_SCH24,Paenibacillus_E12,Nocardioides_BM13,Cellulosimicrobium_BM1,Micrococcus_SCH4,Microbacterium_BM4,Arthrobacter_RDH6,Streptomyces_RCH20P,Streptomyces_BM16,Hymenobacter_RP5H,Dyadobacter_BM9,Chryseobacterium_SCH11
Pseudomonas_putida_KT2442,-1,0,0,-1,0,0,0,0,0,1,0,0,-1,0,-2,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
Pseudomonas_RDP22,-2,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-4,0,0,0,-6,0,-4,-4,0,0,0,1
Pseudomonas_RDP27,0,0,0,-1,0,0,0,0,0,0,0,-2,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0
Pseudomonas_E5,-2,0,0,0,0,0,0,0,0,0,0,0,3,-6,-2,0,0,0,0,9,8,8,10,4,0,0,-2,7,9,0,0,0
Pseudomonas_RP5,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Luteibacter_BM7,-1,0,0,-1,-1,0,0,0,0,0,0,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysobacter_BM12,-1,0,-2,-2,-2,0,0,-1,0,0,0,0,-1,-4,0,-1,0,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,0
Stenotrophomonas_BM25,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0
Dyella_R23,-1,0,-1,-1,-2,0,-1,-1,0,0,0,0,-1,-3,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,0
Rhodanobacteraceae_S20,-1,0,-1,-1,-1,0,-1,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0
