Strain_ID,Pseudomonas_putida_KT2442,Variovax_RPC5,Massilia_sp,Burkholderia_RCH25,Ensifer_sp,Sphingobium_Z2,Exiguobacterium_RDH25,Bacillus_SCH24,Paenibacillus_E12,Cellulosimicrobium_BM1,Microbacterium_BM4,Streptomyces_RCH20P,Hymenobacter_RP5H,Dyadobacter_BM9,Chryseobacterium_SCH11
Pseudomonas_putida_KT2442,0,0,0,0,-1,NA,NA,NA,NA,0,0,0,0,0,0
Variovax_RPC5,-1,-3,1,-6,2,-2,-3,-3,-1,1,-1,1,-2,-2,-2
Massilia_sp,1,0,0,-1,0,0,0,-1,1,0,0,-1,0,0,0
Burkholderia_RCH25,-1,0,-1,0,-2,0,0,0,0,0,0,-1,0,0,0
Ensifer_sp,-2,0,1,-3,0,2,0,-10,-1,NA,1,-1,-9,0,-2
Sphingobium_Z2,-1,0,1,-2,0,0,0,-4,0,10,-1,0,0,0,0
Exiguobacterium_RDH25,-1,0,1,0,0,0,0,-2,0,0,0,-1,0,0,0
Bacillus_SCH24,-1,0,-1,-3,0,0,-3,0,0,0,0,-7,0,1,0
Paenibacillus_E12,7,4,9,9,4,7,9,2,3,0,5,-6,3,0,4
Cellulosimicrobium_BM1,0,0,0,-1,0,0,0,-4,0,0,0,-4,0,0,0
Microbacterium_BM4,-3,1,3,-4,0,-4,0,-2,0,-1,0,-7,0,0,0
Streptomyces_RCH20P,-1,2,2,-10,1,0,0,-2,1,0,0,0,0,0,0
Hymenobacter_RP5H,-1,0,0,-2,0,0,0,0,0,0,0,-10,0,0,0
Dyadobacter_BM9,0,0,0,-4,0,0,0,0,-1,0,-1,-6,-1,0,-1
Chryseobacterium_SCH11,-1,-2,-1,-1,0,0,0,3,3,0,-1,-1,0,0,0
