Strain_ID,Pseudomonas_putida_KT2442,Burkholderia_RCH25,Massilia_sp,Streptomyces_RCH20P,Variovax_RPC5,Hymenobacter_RP5H,Chryseobacterium_SCH11,Dyadobacter_BM9,Exiguobacterium_RDH25,Bacillus_SCH24,Paenibacillus_E12,Sphingobium_Z2,Cellulosimicrobium_BM1,Microbacterium_BM4,Ensifer_sp
Pseudomonas_putida_KT2442,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0
Burkholderia_RCH25,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0
Massilia_sp,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0
Streptomyces_RCH20P,0,-1,0,0,0,0,0,0,0,-9,0,0,1,0,0
Variovax_RPC5,0,-4,1,-1,-4,-2,-4,0,-1,-6,-5,1,0,-1,0
Hymenobacter_RP5H,2,-2,3,-10,0,0,1,0,3,-5,2,-1,3,0,2
Chryseobacterium_SCH11,-1,-2,-1,-1,2,0,0,0,0,-1,0,0,0,0,0
Dyadobacter_BM9,0,-1,1,-4,0,0,0,0,0,0,0,1,0,0,0
Exiguobacterium_RDH25,-1,0,0,-2,0,0,0,0,0,-2,0,0,0,0,0
Bacillus_SCH24,0,-1,-1,-4,0,1,0,0,0,0,0,1,0,0,0
Paenibacillus_E12,0,-1,-1,-5,0,0,0,0,0,0,0,0,0,0,0
Sphingobium_Z2,0,-2,-1,-1,0,0,0,0,0,0,-1,0,0,0,0
Cellulosimicrobium_BM1,0,-2,0,-2,0,0,0,0,0,-2,0,0,0,0,0
Microbacterium_BM4,0,-2,2,-6,0,0,0,0,0,0,-1,-2,0,0,0
Ensifer_sp,-2,-6,9,-5,NA,NA,NA,0,0,-2,0,0,0,0,0
