Strain_ID,Pseudomonas_E5,Pseudomonas_RPE1,Pseudomonas_RDP22,Pseudomonas_RDP27,Pseudomonas_putida_KT2442,Streptomyces_RDH1,Streptomyces_RCH20P,Cellulosimicrobium_BM1,Exiguobacterium_RDH20,Exiguobacterium_RDH25,Bacillus_SCH24,Chryseobacterium_SCH11,Ensifer_BM17,Luteibacter_BM7,Lysobacter_BM12,Stenotrophomonas_BM25
Pseudomonas_E5,0,0,0,0,0,0,0,0,0,0,-1,1,0,2,0,2
Pseudomonas_RPE1,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,1,0,2
Pseudomonas_RDP22,-2,0,0,0,0,0,-3,0,0,0,-2,-1,0,0,0,0
Pseudomonas_RDP27,0,0,0,0,0,0,1,0,3,0,1,-2,1,2,0,3
Pseudomonas_putida_KT2442,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Streptomyces_RDH1,-2,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0
Streptomyces_RCH20P,-2,0,0,0,0,0,0,0,0,0,-2,-1,0,0,0,0
Cellulosimicrobium_BM1,-8,-1,0,4,3,0,-2,-1,0,0,-3,0,1,1,1,1
Exiguobacterium_RDH20,-3,1,1,1,1,0,-1,0,0,-1,-5,0,0,0,0,1
Exiguobacterium_RDH25,-2,0,1,1,1,0,-1,0,0,0,-4,0,1,0,0,1
Bacillus_SCH24,-3,3,0,1,0,-1,-3,0,1,1,0,2,0,0,0,1
Chryseobacterium_SCH11,-1,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0
Ensifer_BM17,2,3,0,3,0,1,-1,0,0,0,-1,0,0,0,0,2
Luteibacter_BM7,-1,-2,0,-1,-1,0,-2,0,0,0,-2,-2,0,0,-2,-1
Lysobacter_BM12,-2,-2,0,0,0,0,0,0,0,-1,-6,-3,0,0,0,-2
Stenotrophomonas_BM25,1,1,0,1,2,0,0,0,0,0,-2,0,0,0,0,0
