Strain_ID,Pseudomonas_putida_KT2442,Burkholderia_RCH25,Massilia_sp,Exiguobacterium_RDH25,Variovax_RPC5,Methylobacterium_RPE3,Chryseobacterium_SCH11,Dyadobacter_BM9,Streptomyces_RCH20P,Bacillus_SCH24,Paenibacillus_E12,Sphingobium_Z2,Cellulosimicrobium_BM1,Microbacterium_BM4,Luteibacter_BM7,Ensifer_BM17
Pseudomonas_putida_KT2442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia_RCH25,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
Massilia_sp,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
Exiguobacterium_RDH25,0,0,0,-1,0,-1,0,0,-1,-1,0,0,1,0,0,0
Variovax_RPC5,-2,-1,1,-1,0,-4,-2,-3,1,-5,2,-1,2,-1,2,0
Methylobacterium_RPE3,0,0,0,-7,0,0,-1,0,0,0,0,0,0,0,0,0
Chryseobacterium_SCH11,0,0,0,0,0,-2,-1,0,0,-2,0,0,0,0,0,1
Dyadobacter_BM9,0,-1,0,0,0,0,-1,0,-1,0,-2,0,0,0,0,0
Streptomyces_RCH20P,-1,-10,0,0,,-2,-5,0,0,-1,0,0,0,0,0,0
Bacillus_SCH24,0,-1,-1,-9,0,0,-1,0,0,0,-1,0,0,0,0,0
Paenibacillus_E12,0,-1,0,-3,0,0,-2,-1,0,0,0,0,1,0,1,0
Sphingobium_Z2,0,-1,2,-1,0,3,-1,0,0,0,-3,0,0,0,0,0
Cellulosimicrobium_BM1,0,-1,1,-2,0,-3,-1,-1,0,-2,-1,0,0,0,0,0
Microbacterium_BM4,0,-2,0,-7,-3,-1,-1,0,-1,-2,-1,0,0,-1,0,-1
Luteibacter_BM7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ensifer_BM17,0,4,10,5,-10,0,-8,0,9,-4,0,-1,2,1,5,0
