Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_E05,Luteibacter_E22,Lysobacter_E23,Stenotrophomonas_R24,Dyella_R26,Enterobacter_R25,Variovorax_R27,Acidovorax_R28,Massilia_S14,Massilia_R31,Ralstonia_R29,Burkholderia_R30,Ensifer_E15,Ensifer_R19,Agrobacterium_E04,Methylobacterium_R20,Sphingobium_R21,Exiguobacterium_R17,Bacillus_S18,Paenibacillus_E12,Nocardioides_E09,Cellulosimicrobium_E16,Micrococcus_S10,Microbacterium_E13,Arthrobacter_R11,Streptomyces_R07,Streptomyces_E08,Hymenobacter_R03,Dyadobacter_E01,Chryseobacterium_S02,Pedobacter_R06
Pseudomonas_putida_KT2442,-1,-1,0,0,0,0,0,0,0,-1,0,-1,0,-2,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
Pseudomonas_E05,-2,0,0,0,0,0,0,0,0,3,5,2,-6,-2,0,0,0,0,9,8,8,10,0,0,0,8,7,9,0,0,0,8
Luteibacter_E22,-1,-1,0,0,0,0,0,0,0,-4,-1,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysobacter_E23,-1,-2,0,0,-1,0,0,0,0,-1,0,-1,-4,0,-1,0,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0
Stenotrophomonas_R24,-1,-1,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
Dyella_R26,-1,-1,0,-1,-1,0,0,0,-1,-1,0,-1,-3,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0
Enterobacter_R25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0
Variovorax_R27,-1,-2,0,-2,5,2,-1,-3,-3,-1,-5,-1,-6,1,1,-2,1,-1,-3,-8,-2,2,2,-2,-1,-1,-1,1,-1,-2,-1,0
Acidovorax_R28,0,0,0,0,0,0,0,0,0,-1,-1,-1,-2,0,0,0,0,0,0,-5,0,0,-1,0,0,-2,-1,-1,0,0,0,0
Massilia_S14,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,-2,-1,0,0,0,0,-1
