name,Strain_ID,value,Lawn,Spot,MediaTime,Media,Time,Target,Source,Interaction
Acidovorax_R28,Micrococcus_S10,-4,Micrococcus_S10,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,S10,R28,-4
Acidovorax_R28,Ensifer_E15,1,Ensifer_E15,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,E15,R28,1
Acidovorax_R28,Cellulosimicrobium_E16,0,Cellulosimicrobium_E16,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,E16,R28,0
Acidovorax_R28,Streptomyces_E08,0,Streptomyces_E08,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,E08,R28,0
Acidovorax_R28,Nocardioides_E09,1,Nocardioides_E09,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,E09,R28,1
Acidovorax_R28,Agrobacterium_E04,0,Agrobacterium_E04,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,E04,R28,0
Acidovorax_R28,Sphingobium_R21,0,Sphingobium_R21,Acidovorax_R28,R2A-96h,R2A,96h,R21,R28,0
Acidovorax_R28,Microbacterium_E13,-4,Microbacterium_E13,Acidovorax_R28,R2A-48h,R2A,48h,E13,R28,-4
Acidovorax_R28,Exiguobacterium_R17,-1,Exiguobacterium_R17,Acidovorax_R28,R2A-48h,R2A,48h,R17,R28,-1
Acidovorax_R28,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,KT2442,R28,0
Acidovorax_R28,Pseudomonas_E05,0,Pseudomonas_E05,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,E05,R28,0
Acidovorax_R28,Streptomyces_E08,0,Streptomyces_E08,Acidovorax_R28,R2A-48h,R2A,48h,E08,R28,0
Acidovorax_R28,Lysobacter_E23,0,Lysobacter_E23,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,E23,R28,0
Acidovorax_R28,Methylobacterium_R20,0,Methylobacterium_R20,Acidovorax_R28,R2A-96h,R2A,96h,R20,R28,0
Acidovorax_R28,Dyadobacter_E01,0,Dyadobacter_E01,Acidovorax_R28,R2AFe-96h,R2A+Fe,96h,E01,R28,0
Acidovorax_R28,Arthrobacter_R11,0,Arthrobacter_R11,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,R11,R28,0
Acidovorax_R28,Pedobacter_R06,0,Pedobacter_R06,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,R06,R28,0
Acidovorax_R28,Streptomyces_R07,0,Streptomyces_R07,Acidovorax_R28,R2AFe-96h,R2A+Fe,96h,R07,R28,0
Acidovorax_R28,Ensifer_E15,1,Ensifer_E15,Acidovorax_R28,R2AFe-96h,R2A+Fe,96h,E15,R28,1
Acidovorax_R28,Acidovorax_R28,0,Acidovorax_R28,Acidovorax_R28,R2A-48h,R2A,48h,R28,R28,0
Acidovorax_R28,Burkholderia_R30,0,Burkholderia_R30,Acidovorax_R28,R2A-48h,R2A,48h,R30,R28,0
Acidovorax_R28,Methylobacterium_R20,0,Methylobacterium_R20,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,R20,R28,0
Acidovorax_R28,Methylobacterium_R20,0,Methylobacterium_R20,Acidovorax_R28,R2A-48h,R2A,48h,R20,R28,0
Acidovorax_R28,Pedobacter_R06,0,Pedobacter_R06,Acidovorax_R28,R2A-48h,R2A,48h,R06,R28,0
Acidovorax_R28,Acidovorax_R28,0,Acidovorax_R28,Acidovorax_R28,R2AFe-96h,R2A+Fe,96h,R28,R28,0
Acidovorax_R28,Nocardioides_E09,1,Nocardioides_E09,Acidovorax_R28,R2A-48h,R2A,48h,E09,R28,1
Acidovorax_R28,Variovorax_R27,-2,Variovorax_R27,Acidovorax_R28,R2AFe-96h,R2A+Fe,96h,R27,R28,-2
Acidovorax_R28,Sphingobium_R21,0,Sphingobium_R21,Acidovorax_R28,R2AFe-48h,R2A+Fe,48h,R21,R28,0
Acidovorax_R28,Exiguobacterium_R17,-2,Exiguobacterium_R17,Acidovorax_R28,R2A-96h,R2A,96h,R17,R28,-2
Acidovorax_R28,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,Acidovorax_R28,R2A-48h,R2A,48h,KT2442,R28,0
Acidovorax_R28,Pedobacter_R06,0,Pedobacter_R06,Acidovorax_R28,R2AFe-96h,R2A+Fe,96h,R06,R28,0
