Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_E05,Luteibacter_E22,Lysobacter_E23,Stenotrophomonas_R24,Dyella_R26,Enterobacter_R25,Variovorax_R27,Acidovorax_R28,Massilia_S14,Massilia_R31,Ralstonia_R29,Burkholderia_R30,Ensifer_E15,Ensifer_R19,Agrobacterium_E04,Methylobacterium_R20,Sphingobium_R21,Exiguobacterium_R17,Bacillus_S18,Paenibacillus_E12,Nocardioides_E09,Cellulosimicrobium_E16,Micrococcus_S10,Microbacterium_E13,Arthrobacter_R11,Streptomyces_R07,Streptomyces_E08,Hymenobacter_R03,Dyadobacter_E01,Chryseobacterium_S02,Pedobacter_R06
Pseudomonas_putida_KT2442,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,2
Pseudomonas_E05,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8
Luteibacter_E22,0,0,0,0,0,0,0,25,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,20,2,3
Lysobacter_E23,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2,18,0,4
Stenotrophomonas_R24,0,0,0,0,0,0,0,10,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,8,1,1
Dyella_R26,0,0,1,0,0,0,0,4,0,0,0,0,0,3,3,0,0,1,0,7,0,0,0,0,0,0,0,0,3,15,0,7
Enterobacter_R25,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,4
Variovorax_R27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Acidovorax_R28,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8
Massilia_S14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Massilia_R31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Ralstonia_R29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
Burkholderia_R30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
Ensifer_E15,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,44,3,6
Ensifer_R19,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6,40
Agrobacterium_E04,0,0,2,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,50,3,10
Methylobacterium_R20,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,16,0,0,0,0,0,2,0,0,1,1,3,3
Sphingobium_R21,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,1
Exiguobacterium_R17,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5
Bacillus_S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus_E12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardioides_E09,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Cellulosimicrobium_E16,0,0,0,0,0,0,0,2,0,1,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,5
Micrococcus_S10,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,21,0,2
Microbacterium_E13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
Arthrobacter_R11,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Streptomyces_R07,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces_E08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Hymenobacter_R03,0,0,0,0,0,0,6,2,0,1,1,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,2
Dyadobacter_E01,0,0,0,0,0,0,0,2,1,0,1,0,0,4,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,2,0,2
Chryseobacterium_S02,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pedobacter_R06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
