Strain_ID,Pseudomonas_putida_KT2442,Pseudomonas_E05,Luteibacter_E22,Lysobacter_E23,Stenotrophomonas_R24,Dyella_R26,Enterobacter_R25,Variovorax_R27,Acidovorax_R28,Massilia_S14,Massilia_R31,Ralstonia_R29,Burkholderia_R30,Ensifer_E15,Ensifer_R19,Agrobacterium_E04,Methylobacterium_R20,Sphingobium_R21,Exiguobacterium_R17,Bacillus_S18,Paenibacillus_E12,Nocardioides_E09,Cellulosimicrobium_E16,Micrococcus_S10,Microbacterium_E13,Arthrobacter_R11,Streptomyces_R07,Streptomyces_E08,Hymenobacter_R03,Dyadobacter_E01,Chryseobacterium_S02,Pedobacter_R06
Pseudomonas_putida_KT2442,0,0,0,1,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,2,4,20
Pseudomonas_E05,0,0,1,0,0,0,0,3,13,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,2,0,0,1,0
Luteibacter_E22,0,0,0,1,1,0,10,3,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,12,3,6
Lysobacter_E23,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,1,1,1,18,2,19
Stenotrophomonas_R24,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,2,1,15,1,3
Dyella_R26,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,4
Enterobacter_R25,0,0,0,8,1,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,7
Variovorax_R27,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,4,0,2
Acidovorax_R28,0,0,0,1,1,0,0,3,0,1,1,0,0,4,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,3,20
Massilia_S14,0,0,0,0,0,0,0,1,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Massilia_R31,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Ralstonia_R29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2
Burkholderia_R30,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,8,1,8
Ensifer_E15,0,0,0,0,0,0,0,20,0,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,0,0
Ensifer_R19,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Agrobacterium_E04,0,0,1,0,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31,2,3
Methylobacterium_R20,0,1,0,0,0,0,0,3,0,1,3,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sphingobium_R21,0,0,0,5,1,0,0,2,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,10
Exiguobacterium_R17,0,0,0,0,0,0,0,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5
Bacillus_S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus_E12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardioides_E09,0,0,0,0,0,3,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
Cellulosimicrobium_E16,0,0,0,0,0,0,0,6,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2
Micrococcus_S10,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Microbacterium_E13,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Arthrobacter_R11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces_R07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces_E08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Hymenobacter_R03,0,0,0,0,1,0,0,2,0,2,1,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3
Dyadobacter_E01,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,5
Chryseobacterium_S02,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Pedobacter_R06,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
