"","Strain_ID","name","value"
"1","Pseudomonas_putida_KT2442","Pseudomonas_putida_KT2442","0"
"2","Pseudomonas_putida_KT2442","Luteibacter_BM7","0"
"3","Pseudomonas_putida_KT2442","Variovax_RPC5","1"
"4","Pseudomonas_putida_KT2442","Burkholderia_RCH25","2 (LD)"
"5","Pseudomonas_putida_KT2442","Ensifer_sp","0"
"6","Pseudomonas_putida_KT2442","Methylobacterium_RPE3","0"
"7","Pseudomonas_putida_KT2442","Sphingobium_Z2","0"
"8","Pseudomonas_putida_KT2442","Exiguobacterium_RDH25","0"
"9","Pseudomonas_putida_KT2442","Bacillus_SCH24","1spread"
"10","Pseudomonas_putida_KT2442","Paenibacillus_E12","0"
"11","Pseudomonas_putida_KT2442","Cellulosimicrobium_BM1","0"
"12","Pseudomonas_putida_KT2442","Microbacterium_BM4","0"
"13","Pseudomonas_putida_KT2442","Streptomyces_RCH20P","1inc"
"14","Pseudomonas_putida_KT2442","Dyadobacter_BM9","0"
"15","Pseudomonas_putida_KT2442","Chryseobacterium_SCH11","1inc"
"16","Luteibacter_BM7","Pseudomonas_putida_KT2442","0"
"17","Luteibacter_BM7","Luteibacter_BM7","3spread"
"18","Luteibacter_BM7","Variovax_RPC5","0"
"19","Luteibacter_BM7","Burkholderia_RCH25","1"
"20","Luteibacter_BM7","Ensifer_sp","0"
"21","Luteibacter_BM7","Methylobacterium_RPE3","0"
"22","Luteibacter_BM7","Sphingobium_Z2","0"
"23","Luteibacter_BM7","Exiguobacterium_RDH25","0"
"24","Luteibacter_BM7","Bacillus_SCH24","0"
"25","Luteibacter_BM7","Paenibacillus_E12","0"
"26","Luteibacter_BM7","Cellulosimicrobium_BM1","0"
"27","Luteibacter_BM7","Microbacterium_BM4","0"
"28","Luteibacter_BM7","Streptomyces_RCH20P","0"
"29","Luteibacter_BM7","Dyadobacter_BM9","0"
"30","Luteibacter_BM7","Chryseobacterium_SCH11","2spread"
"31","Variovax_RPC5","Pseudomonas_putida_KT2442","2 (LD)"
"32","Variovax_RPC5","Luteibacter_BM7","0"
"33","Variovax_RPC5","Variovax_RPC5","1inc"
"34","Variovax_RPC5","Burkholderia_RCH25","5"
"35","Variovax_RPC5","Ensifer_sp","1"
"36","Variovax_RPC5","Methylobacterium_RPE3","0"
"37","Variovax_RPC5","Sphingobium_Z2","0"
"38","Variovax_RPC5","Exiguobacterium_RDH25","1spread"
"39","Variovax_RPC5","Bacillus_SCH24","1spread, 4"
"40","Variovax_RPC5","Paenibacillus_E12","1"
"41","Variovax_RPC5","Cellulosimicrobium_BM1","1 (LD)"
"42","Variovax_RPC5","Microbacterium_BM4","0"
"43","Variovax_RPC5","Streptomyces_RCH20P","0"
"44","Variovax_RPC5","Dyadobacter_BM9","1spread"
"45","Variovax_RPC5","Chryseobacterium_SCH11","1spread"
"46","Burkholderia_RCH25","Pseudomonas_putida_KT2442","2 (LD)"
"47","Burkholderia_RCH25","Luteibacter_BM7","0"
"48","Burkholderia_RCH25","Variovax_RPC5","0"
"49","Burkholderia_RCH25","Burkholderia_RCH25","0"
"50","Burkholderia_RCH25","Ensifer_sp","0"
"51","Burkholderia_RCH25","Methylobacterium_RPE3","0"
"52","Burkholderia_RCH25","Sphingobium_Z2","0"
"53","Burkholderia_RCH25","Exiguobacterium_RDH25","0"
"54","Burkholderia_RCH25","Bacillus_SCH24","1spread, 3inc"
"55","Burkholderia_RCH25","Paenibacillus_E12","1"
"56","Burkholderia_RCH25","Cellulosimicrobium_BM1","0"
"57","Burkholderia_RCH25","Microbacterium_BM4","0"
"58","Burkholderia_RCH25","Streptomyces_RCH20P","0"
"59","Burkholderia_RCH25","Dyadobacter_BM9","0"
"60","Burkholderia_RCH25","Chryseobacterium_SCH11","0"
"61","Ensifer_sp","Pseudomonas_putida_KT2442","2 (LD)"
"62","Ensifer_sp","Luteibacter_BM7","1inc"
"63","Ensifer_sp","Variovax_RPC5","2 inc, 2swarm?"
"64","Ensifer_sp","Burkholderia_RCH25","4"
"65","Ensifer_sp","Ensifer_sp","1spread"
"66","Ensifer_sp","Methylobacterium_RPE3","0"
"67","Ensifer_sp","Sphingobium_Z2","0"
"68","Ensifer_sp","Exiguobacterium_RDH25","0"
"69","Ensifer_sp","Bacillus_SCH24","5spread"
"70","Ensifer_sp","Paenibacillus_E12","1 (LD)"
"71","Ensifer_sp","Cellulosimicrobium_BM1","0"
"72","Ensifer_sp","Microbacterium_BM4","0"
"73","Ensifer_sp","Streptomyces_RCH20P","2 (LD)"
"74","Ensifer_sp","Dyadobacter_BM9","5inc"
