"","Strain_ID","name","value","Lawn","Spot","MediaTime","Media","Fe","Time","Dataset"
"1","Pseudomonas_putida_KT2442","Pseudomonas_putida_KT2442",0,"Pseudomonas_putida_KT2442","Pseudomonas_putida_KT2442","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"2","Pseudomonas_putida_KT2442","Luteibacter_BM7",0,"Pseudomonas_putida_KT2442","Luteibacter_BM7","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"3","Pseudomonas_putida_KT2442","Variovax_RPC5",-1,"Pseudomonas_putida_KT2442","Variovax_RPC5","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"4","Pseudomonas_putida_KT2442","Burkholderia_RCH25",-2,"Pseudomonas_putida_KT2442","Burkholderia_RCH25","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"5","Pseudomonas_putida_KT2442","Ensifer_sp",0,"Pseudomonas_putida_KT2442","Ensifer_sp","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"6","Pseudomonas_putida_KT2442","Methylobacterium_RPE3",0,"Pseudomonas_putida_KT2442","Methylobacterium_RPE3","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"7","Pseudomonas_putida_KT2442","Sphingobium_Z2",0,"Pseudomonas_putida_KT2442","Sphingobium_Z2","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"8","Pseudomonas_putida_KT2442","Exiguobacterium_RDH25",0,"Pseudomonas_putida_KT2442","Exiguobacterium_RDH25","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"9","Pseudomonas_putida_KT2442","Bacillus_SCH24",0,"Pseudomonas_putida_KT2442","Bacillus_SCH24","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"10","Pseudomonas_putida_KT2442","Paenibacillus_E12",0,"Pseudomonas_putida_KT2442","Paenibacillus_E12","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"11","Pseudomonas_putida_KT2442","Cellulosimicrobium_BM1",0,"Pseudomonas_putida_KT2442","Cellulosimicrobium_BM1","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"12","Pseudomonas_putida_KT2442","Microbacterium_BM4",0,"Pseudomonas_putida_KT2442","Microbacterium_BM4","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
"13","Pseudomonas_putida_KT2442","Streptomyces_RCH20P",1,"Pseudomonas_putida_KT2442","Streptomyces_RCH20P","1/2 TSA, 96h","1/2 TSA","- FeCl3","96h","Hannah"
