,Strain_ID,name,value,Spot,MediaTime,Lawn,Media,Fe,Time,Dataset
579,Bacillus_SCH24,Bacillus_SCH24,0,Bacillus_SCH24,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
804,Bacillus_SCH24,Bacillus_SCH24,0,Bacillus_SCH24,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
129,Bacillus_SCH24,Bacillus_SCH24,0,Bacillus_SCH24,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
354,Bacillus_SCH24,Bacillus_SCH24,0,Bacillus_SCH24,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
574,Bacillus_SCH24,Burkholderia_RCH25,1,Burkholderia_RCH25,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
799,Bacillus_SCH24,Burkholderia_RCH25,1,Burkholderia_RCH25,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
124,Bacillus_SCH24,Burkholderia_RCH25,-2,Burkholderia_RCH25,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
349,Bacillus_SCH24,Burkholderia_RCH25,-2,Burkholderia_RCH25,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
581,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
806,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
131,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
356,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
585,Bacillus_SCH24,Chryseobacterium_SCH11,-1,Chryseobacterium_SCH11,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
810,Bacillus_SCH24,Chryseobacterium_SCH11,-1,Chryseobacterium_SCH11,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
135,Bacillus_SCH24,Chryseobacterium_SCH11,-1,Chryseobacterium_SCH11,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
360,Bacillus_SCH24,Chryseobacterium_SCH11,-1,Chryseobacterium_SCH11,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
584,Bacillus_SCH24,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
809,Bacillus_SCH24,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
134,Bacillus_SCH24,Dyadobacter_BM9,-1,Dyadobacter_BM9,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
359,Bacillus_SCH24,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
575,Bacillus_SCH24,Ensifer_sp,0,Ensifer_sp,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
800,Bacillus_SCH24,Ensifer_sp,0,Ensifer_sp,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
125,Bacillus_SCH24,Ensifer_sp,-2,Ensifer_sp,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
350,Bacillus_SCH24,Ensifer_sp,0,Ensifer_sp,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
578,Bacillus_SCH24,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
803,Bacillus_SCH24,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
