"","Strain_ID","name","value"
"1","Pseudomonas_putida_KT2442","Pseudomonas_putida_KT2442",0
"2","Pseudomonas_putida_KT2442","Luteibacter_E22",1
"3","Pseudomonas_putida_KT2442","Variovorax_R27",-1
"4","Pseudomonas_putida_KT2442","Burkholderia_R30",0
"5","Pseudomonas_putida_KT2442","Ensifer_E15",0
"6","Pseudomonas_putida_KT2442","Methylobacterium_R20",0
"7","Pseudomonas_putida_KT2442","Sphingobium_R21",0
"8","Pseudomonas_putida_KT2442","Exiguobacterium_R17",0
"9","Pseudomonas_putida_KT2442","Bacillus_S18",0
"10","Pseudomonas_putida_KT2442","Paenibacillus_E12",0
"11","Pseudomonas_putida_KT2442","Cellulosimicrobium_E16",0
"12","Pseudomonas_putida_KT2442","Microbacterium_E13",0
"13","Pseudomonas_putida_KT2442","Streptomyces_R07",0
"14","Pseudomonas_putida_KT2442","Dyadobacter_E01",0
"15","Pseudomonas_putida_KT2442","Chryseobacterium_S02",0
"16","Luteibacter_E22","Pseudomonas_putida_KT2442",-2
"17","Luteibacter_E22","Luteibacter_E22",0
"18","Luteibacter_E22","Variovorax_R27",1
"19","Luteibacter_E22","Burkholderia_R30",-2
"20","Luteibacter_E22","Ensifer_E15",0
"21","Luteibacter_E22","Methylobacterium_R20",0
"22","Luteibacter_E22","Sphingobium_R21",0
"23","Luteibacter_E22","Exiguobacterium_R17",0
"24","Luteibacter_E22","Bacillus_S18",0
"25","Luteibacter_E22","Paenibacillus_E12",-1
"26","Luteibacter_E22","Cellulosimicrobium_E16",0
"27","Luteibacter_E22","Microbacterium_E13",0
"28","Luteibacter_E22","Streptomyces_R07",-1
"29","Luteibacter_E22","Dyadobacter_E01",0
"30","Luteibacter_E22","Chryseobacterium_S02",-1
"31","Variovorax_R27","Pseudomonas_putida_KT2442",0
"32","Variovorax_R27","Luteibacter_E22",0
"33","Variovorax_R27","Variovorax_R27",0
"34","Variovorax_R27","Burkholderia_R30",-3
"35","Variovorax_R27","Ensifer_E15",0
"36","Variovorax_R27","Methylobacterium_R20",0
"37","Variovorax_R27","Sphingobium_R21",0
"38","Variovorax_R27","Exiguobacterium_R17",0
"39","Variovorax_R27","Bacillus_S18",-6
"40","Variovorax_R27","Paenibacillus_E12",-1
"41","Variovorax_R27","Cellulosimicrobium_E16",0
"42","Variovorax_R27","Microbacterium_E13",0
"43","Variovorax_R27","Streptomyces_R07",0
"44","Variovorax_R27","Dyadobacter_E01",0
"45","Variovorax_R27","Chryseobacterium_S02",0
"46","Burkholderia_R30","Pseudomonas_putida_KT2442",0
"47","Burkholderia_R30","Luteibacter_E22",0
"48","Burkholderia_R30","Variovorax_R27",-1
"49","Burkholderia_R30","Burkholderia_R30",-1
"50","Burkholderia_R30","Ensifer_E15",0
"51","Burkholderia_R30","Methylobacterium_R20",0
"52","Burkholderia_R30","Sphingobium_R21",0
"53","Burkholderia_R30","Exiguobacterium_R17",0
"54","Burkholderia_R30","Bacillus_S18",0
"55","Burkholderia_R30","Paenibacillus_E12",0
"56","Burkholderia_R30","Cellulosimicrobium_E16",0
"57","Burkholderia_R30","Microbacterium_E13",0
"58","Burkholderia_R30","Streptomyces_R07",0
"59","Burkholderia_R30","Dyadobacter_E01",0
"60","Burkholderia_R30","Chryseobacterium_S02",0
"61","Ensifer_E15","Pseudomonas_putida_KT2442",1
"62","Ensifer_E15","Luteibacter_E22",0
"63","Ensifer_E15","Variovorax_R27",0
"64","Ensifer_E15","Burkholderia_R30",-1
"65","Ensifer_E15","Ensifer_E15",0
"66","Ensifer_E15","Methylobacterium_R20",0
"67","Ensifer_E15","Sphingobium_R21",0
"68","Ensifer_E15","Exiguobacterium_R17",0
"69","Ensifer_E15","Bacillus_S18",-2
"70","Ensifer_E15","Paenibacillus_E12",-1
"71","Ensifer_E15","Cellulosimicrobium_E16",0
"72","Ensifer_E15","Microbacterium_E13",1
"73","Ensifer_E15","Streptomyces_R07",3
"74","Ensifer_E15","Dyadobacter_E01",0
"75","Ensifer_E15","Chryseobacterium_S02",0
"76","Methylobacterium_R20","Pseudomonas_putida_KT2442",0
"77","Methylobacterium_R20","Luteibacter_E22",0
"78","Methylobacterium_R20","Variovorax_R27",0
"79","Methylobacterium_R20","Burkholderia_R30",-4
"80","Methylobacterium_R20","Ensifer_E15",0
"81","Methylobacterium_R20","Methylobacterium_R20",0
"82","Methylobacterium_R20","Sphingobium_R21",0
"83","Methylobacterium_R20","Exiguobacterium_R17",4
"84","Methylobacterium_R20","Bacillus_S18",-10
"85","Methylobacterium_R20","Paenibacillus_E12",0
"86","Methylobacterium_R20","Cellulosimicrobium_E16",0
"87","Methylobacterium_R20","Microbacterium_E13",0
"88","Methylobacterium_R20","Streptomyces_R07",0
"89","Methylobacterium_R20","Dyadobacter_E01",0
"90","Methylobacterium_R20","Chryseobacterium_S02",0
"91","Sphingobium_R21","Pseudomonas_putida_KT2442",0
"92","Sphingobium_R21","Luteibacter_E22",0
"93","Sphingobium_R21","Variovorax_R27",0
"94","Sphingobium_R21","Burkholderia_R30",-2
"95","Sphingobium_R21","Ensifer_E15",-2
"96","Sphingobium_R21","Methylobacterium_R20",0
"97","Sphingobium_R21","Sphingobium_R21",0
"98","Sphingobium_R21","Exiguobacterium_R17",0
"99","Sphingobium_R21","Bacillus_S18",-6
"100","Sphingobium_R21","Paenibacillus_E12",-1
"101","Sphingobium_R21","Cellulosimicrobium_E16",0
"102","Sphingobium_R21","Microbacterium_E13",0
"103","Sphingobium_R21","Streptomyces_R07",-1
"104","Sphingobium_R21","Dyadobacter_E01",0
"105","Sphingobium_R21","Chryseobacterium_S02",0
"106","Exiguobacterium_R17","Pseudomonas_putida_KT2442",0
"107","Exiguobacterium_R17","Luteibacter_E22",0
"108","Exiguobacterium_R17","Variovorax_R27",0
"109","Exiguobacterium_R17","Burkholderia_R30",0
"110","Exiguobacterium_R17","Ensifer_E15",0
"111","Exiguobacterium_R17","Methylobacterium_R20",0
"112","Exiguobacterium_R17","Sphingobium_R21",0
"113","Exiguobacterium_R17","Exiguobacterium_R17",0
"114","Exiguobacterium_R17","Bacillus_S18",-2
"115","Exiguobacterium_R17","Paenibacillus_E12",0
"116","Exiguobacterium_R17","Cellulosimicrobium_E16",0
"117","Exiguobacterium_R17","Microbacterium_E13",0
"118","Exiguobacterium_R17","Streptomyces_R07",-2
"119","Exiguobacterium_R17","Dyadobacter_E01",0
"120","Exiguobacterium_R17","Chryseobacterium_S02",0
"121","Bacillus_S18","Pseudomonas_putida_KT2442",0
"122","Bacillus_S18","Luteibacter_E22",0
"123","Bacillus_S18","Variovorax_R27",0
"124","Bacillus_S18","Burkholderia_R30",1
"125","Bacillus_S18","Ensifer_E15",0
"126","Bacillus_S18","Methylobacterium_R20",0
"127","Bacillus_S18","Sphingobium_R21",0
"128","Bacillus_S18","Exiguobacterium_R17",0
"129","Bacillus_S18","Bacillus_S18",0
"130","Bacillus_S18","Paenibacillus_E12",0
"131","Bacillus_S18","Cellulosimicrobium_E16",0
"132","Bacillus_S18","Microbacterium_E13",0
"133","Bacillus_S18","Streptomyces_R07",-4
