,Strain_ID,name,value
1,Bacillus_S18,Bacillus_S18,0
2,Bacillus_S18,Burkholderia_R30,1
3,Bacillus_S18,Cellulosimicrobium_E16,0
4,Bacillus_S18,Chryseobacterium_S02,-1
5,Bacillus_S18,Dyadobacter_E01,0
6,Bacillus_S18,Ensifer_E15,0
7,Bacillus_S18,Exiguobacterium_R17,0
8,Bacillus_S18,Luteibacter_E22,0
9,Bacillus_S18,Methylobacterium_R20,0
10,Bacillus_S18,Microbacterium_E13,0
11,Bacillus_S18,Paenibacillus_E12,0
12,Bacillus_S18,Pseudomonas_putida_KT2442,0
13,Bacillus_S18,Sphingobium_R21,0
14,Bacillus_S18,Streptomyces_R07,-4
15,Bacillus_S18,Variovorax_R27,0
16,Burkholderia_R30,Bacillus_S18,0
17,Burkholderia_R30,Burkholderia_R30,-1
18,Burkholderia_R30,Cellulosimicrobium_E16,0
19,Burkholderia_R30,Chryseobacterium_S02,0
20,Burkholderia_R30,Dyadobacter_E01,0
21,Burkholderia_R30,Ensifer_E15,0
22,Burkholderia_R30,Exiguobacterium_R17,0
23,Burkholderia_R30,Luteibacter_E22,0
24,Burkholderia_R30,Methylobacterium_R20,0
25,Burkholderia_R30,Microbacterium_E13,0
26,Burkholderia_R30,Paenibacillus_E12,0
27,Burkholderia_R30,Pseudomonas_putida_KT2442,0
28,Burkholderia_R30,Sphingobium_R21,0
29,Burkholderia_R30,Streptomyces_R07,0
30,Burkholderia_R30,Variovorax_R27,-1
31,Cellulosimicrobium_E16,Bacillus_S18,-4
32,Cellulosimicrobium_E16,Burkholderia_R30,-1
33,Cellulosimicrobium_E16,Cellulosimicrobium_E16,0
34,Cellulosimicrobium_E16,Chryseobacterium_S02,0
35,Cellulosimicrobium_E16,Dyadobacter_E01,0
36,Cellulosimicrobium_E16,Ensifer_E15,0
37,Cellulosimicrobium_E16,Exiguobacterium_R17,0
38,Cellulosimicrobium_E16,Luteibacter_E22,0
39,Cellulosimicrobium_E16,Methylobacterium_R20,0
40,Cellulosimicrobium_E16,Microbacterium_E13,0
41,Cellulosimicrobium_E16,Paenibacillus_E12,-1
42,Cellulosimicrobium_E16,Pseudomonas_putida_KT2442,0
43,Cellulosimicrobium_E16,Sphingobium_R21,0
44,Cellulosimicrobium_E16,Streptomyces_R07,-2
45,Cellulosimicrobium_E16,Variovorax_R27,0
46,Chryseobacterium_S02,Bacillus_S18,-2
47,Chryseobacterium_S02,Burkholderia_R30,0
48,Chryseobacterium_S02,Cellulosimicrobium_E16,0
49,Chryseobacterium_S02,Chryseobacterium_S02,0
50,Chryseobacterium_S02,Dyadobacter_E01,0
51,Chryseobacterium_S02,Ensifer_E15,0
52,Chryseobacterium_S02,Exiguobacterium_R17,0
53,Chryseobacterium_S02,Luteibacter_E22,0
54,Chryseobacterium_S02,Methylobacterium_R20,0
55,Chryseobacterium_S02,Microbacterium_E13,0
56,Chryseobacterium_S02,Paenibacillus_E12,0
57,Chryseobacterium_S02,Pseudomonas_putida_KT2442,0
58,Chryseobacterium_S02,Sphingobium_R21,0
59,Chryseobacterium_S02,Streptomyces_R07,0
60,Chryseobacterium_S02,Variovorax_R27,0
61,Dyadobacter_E01,Bacillus_S18,-2
62,Dyadobacter_E01,Burkholderia_R30,-1
63,Dyadobacter_E01,Cellulosimicrobium_E16,0
64,Dyadobacter_E01,Chryseobacterium_S02,0
65,Dyadobacter_E01,Dyadobacter_E01,0
66,Dyadobacter_E01,Ensifer_E15,0
67,Dyadobacter_E01,Exiguobacterium_R17,0
68,Dyadobacter_E01,Luteibacter_E22,0
69,Dyadobacter_E01,Methylobacterium_R20,0
70,Dyadobacter_E01,Microbacterium_E13,0
71,Dyadobacter_E01,Paenibacillus_E12,-2
72,Dyadobacter_E01,Pseudomonas_putida_KT2442,0
73,Dyadobacter_E01,Sphingobium_R21,0
74,Dyadobacter_E01,Streptomyces_R07,-2
75,Dyadobacter_E01,Variovorax_R27,0
76,Ensifer_E15,Bacillus_S18,-2
77,Ensifer_E15,Burkholderia_R30,-1
78,Ensifer_E15,Cellulosimicrobium_E16,0
79,Ensifer_E15,Chryseobacterium_S02,0
80,Ensifer_E15,Dyadobacter_E01,0
81,Ensifer_E15,Ensifer_E15,0
82,Ensifer_E15,Exiguobacterium_R17,0
83,Ensifer_E15,Luteibacter_E22,0
84,Ensifer_E15,Methylobacterium_R20,0
85,Ensifer_E15,Microbacterium_E13,1
86,Ensifer_E15,Paenibacillus_E12,-1
87,Ensifer_E15,Pseudomonas_putida_KT2442,1
88,Ensifer_E15,Sphingobium_R21,0
89,Ensifer_E15,Streptomyces_R07,3
90,Ensifer_E15,Variovorax_R27,0
91,Exiguobacterium_R17,Bacillus_S18,-2
92,Exiguobacterium_R17,Burkholderia_R30,0
93,Exiguobacterium_R17,Cellulosimicrobium_E16,0
94,Exiguobacterium_R17,Chryseobacterium_S02,0
95,Exiguobacterium_R17,Dyadobacter_E01,0
96,Exiguobacterium_R17,Ensifer_E15,0
97,Exiguobacterium_R17,Exiguobacterium_R17,0
98,Exiguobacterium_R17,Luteibacter_E22,0
99,Exiguobacterium_R17,Methylobacterium_R20,0
100,Exiguobacterium_R17,Microbacterium_E13,0
101,Exiguobacterium_R17,Paenibacillus_E12,0
102,Exiguobacterium_R17,Pseudomonas_putida_KT2442,0
103,Exiguobacterium_R17,Sphingobium_R21,0
104,Exiguobacterium_R17,Streptomyces_R07,-2
105,Exiguobacterium_R17,Variovorax_R27,0
106,Luteibacter_E22,Bacillus_S18,0
107,Luteibacter_E22,Burkholderia_R30,-2
108,Luteibacter_E22,Cellulosimicrobium_E16,0
109,Luteibacter_E22,Chryseobacterium_S02,-1
110,Luteibacter_E22,Dyadobacter_E01,0
111,Luteibacter_E22,Ensifer_E15,0
112,Luteibacter_E22,Exiguobacterium_R17,0
113,Luteibacter_E22,Luteibacter_E22,0
114,Luteibacter_E22,Methylobacterium_R20,0
115,Luteibacter_E22,Microbacterium_E13,0
116,Luteibacter_E22,Paenibacillus_E12,-1
117,Luteibacter_E22,Pseudomonas_putida_KT2442,-2
118,Luteibacter_E22,Sphingobium_R21,0
119,Luteibacter_E22,Streptomyces_R07,-1
120,Luteibacter_E22,Variovorax_R27,1
121,Methylobacterium_R20,Bacillus_S18,-10
122,Methylobacterium_R20,Burkholderia_R30,-4
123,Methylobacterium_R20,Cellulosimicrobium_E16,0
124,Methylobacterium_R20,Chryseobacterium_S02,0
125,Methylobacterium_R20,Dyadobacter_E01,0
126,Methylobacterium_R20,Ensifer_E15,0
127,Methylobacterium_R20,Exiguobacterium_R17,4
128,Methylobacterium_R20,Luteibacter_E22,0
129,Methylobacterium_R20,Methylobacterium_R20,0
130,Methylobacterium_R20,Microbacterium_E13,0
131,Methylobacterium_R20,Paenibacillus_E12,0
132,Methylobacterium_R20,Pseudomonas_putida_KT2442,0
133,Methylobacterium_R20,Sphingobium_R21,0
134,Methylobacterium_R20,Streptomyces_R07,0
135,Methylobacterium_R20,Variovorax_R27,0
136,Microbacterium_E13,Bacillus_S18,-5
137,Microbacterium_E13,Burkholderia_R30,-2
138,Microbacterium_E13,Cellulosimicrobium_E16,0
139,Microbacterium_E13,Chryseobacterium_S02,-2
140,Microbacterium_E13,Dyadobacter_E01,0
141,Microbacterium_E13,Ensifer_E15,-2
142,Microbacterium_E13,Exiguobacterium_R17,0
143,Microbacterium_E13,Luteibacter_E22,0
144,Microbacterium_E13,Methylobacterium_R20,0
145,Microbacterium_E13,Microbacterium_E13,0
146,Microbacterium_E13,Paenibacillus_E12,0
147,Microbacterium_E13,Pseudomonas_putida_KT2442,0
148,Microbacterium_E13,Sphingobium_R21,0
149,Microbacterium_E13,Streptomyces_R07,-4
150,Microbacterium_E13,Variovorax_R27,0
151,Paenibacillus_E12,Bacillus_S18,-2
152,Paenibacillus_E12,Burkholderia_R30,-1
153,Paenibacillus_E12,Cellulosimicrobium_E16,0
154,Paenibacillus_E12,Chryseobacterium_S02,-2
155,Paenibacillus_E12,Dyadobacter_E01,0
156,Paenibacillus_E12,Ensifer_E15,0
157,Paenibacillus_E12,Exiguobacterium_R17,0
158,Paenibacillus_E12,Luteibacter_E22,0
159,Paenibacillus_E12,Methylobacterium_R20,0
160,Paenibacillus_E12,Microbacterium_E13,0
161,Paenibacillus_E12,Paenibacillus_E12,-1
162,Paenibacillus_E12,Pseudomonas_putida_KT2442,0
163,Paenibacillus_E12,Sphingobium_R21,0
164,Paenibacillus_E12,Streptomyces_R07,-4
165,Paenibacillus_E12,Variovorax_R27,0
166,Pseudomonas_putida_KT2442,Bacillus_S18,0
167,Pseudomonas_putida_KT2442,Burkholderia_R30,0
168,Pseudomonas_putida_KT2442,Cellulosimicrobium_E16,0
169,Pseudomonas_putida_KT2442,Chryseobacterium_S02,0
170,Pseudomonas_putida_KT2442,Dyadobacter_E01,0
171,Pseudomonas_putida_KT2442,Ensifer_E15,0
172,Pseudomonas_putida_KT2442,Exiguobacterium_R17,0
173,Pseudomonas_putida_KT2442,Luteibacter_E22,1
174,Pseudomonas_putida_KT2442,Methylobacterium_R20,0
175,Pseudomonas_putida_KT2442,Microbacterium_E13,0
176,Pseudomonas_putida_KT2442,Paenibacillus_E12,0
177,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,0
178,Pseudomonas_putida_KT2442,Sphingobium_R21,0
179,Pseudomonas_putida_KT2442,Streptomyces_R07,0
180,Pseudomonas_putida_KT2442,Variovorax_R27,-1
181,Sphingobium_R21,Bacillus_S18,-6
182,Sphingobium_R21,Burkholderia_R30,-2
183,Sphingobium_R21,Cellulosimicrobium_E16,0
184,Sphingobium_R21,Chryseobacterium_S02,0
185,Sphingobium_R21,Dyadobacter_E01,0
186,Sphingobium_R21,Ensifer_E15,-2
187,Sphingobium_R21,Exiguobacterium_R17,0
188,Sphingobium_R21,Luteibacter_E22,0
189,Sphingobium_R21,Methylobacterium_R20,0
190,Sphingobium_R21,Microbacterium_E13,0
191,Sphingobium_R21,Paenibacillus_E12,-1
192,Sphingobium_R21,Pseudomonas_putida_KT2442,0
193,Sphingobium_R21,Sphingobium_R21,0
194,Sphingobium_R21,Streptomyces_R07,-1
195,Sphingobium_R21,Variovorax_R27,0
196,Streptomyces_R07,Bacillus_S18,-2
197,Streptomyces_R07,Burkholderia_R30,-4
198,Streptomyces_R07,Cellulosimicrobium_E16,0
199,Streptomyces_R07,Chryseobacterium_S02,0
200,Streptomyces_R07,Dyadobacter_E01,0
201,Streptomyces_R07,Ensifer_E15,0
202,Streptomyces_R07,Exiguobacterium_R17,0
203,Streptomyces_R07,Luteibacter_E22,0
204,Streptomyces_R07,Methylobacterium_R20,0
205,Streptomyces_R07,Microbacterium_E13,0
206,Streptomyces_R07,Paenibacillus_E12,0
207,Streptomyces_R07,Pseudomonas_putida_KT2442,-2
208,Streptomyces_R07,Sphingobium_R21,0
209,Streptomyces_R07,Streptomyces_R07,0
210,Streptomyces_R07,Variovorax_R27,0
211,Variovorax_R27,Bacillus_S18,-6
212,Variovorax_R27,Burkholderia_R30,-3
213,Variovorax_R27,Cellulosimicrobium_E16,0
214,Variovorax_R27,Chryseobacterium_S02,0
215,Variovorax_R27,Dyadobacter_E01,0
216,Variovorax_R27,Ensifer_E15,0
217,Variovorax_R27,Exiguobacterium_R17,0
218,Variovorax_R27,Luteibacter_E22,0
219,Variovorax_R27,Methylobacterium_R20,0
220,Variovorax_R27,Microbacterium_E13,0
221,Variovorax_R27,Paenibacillus_E12,-1
222,Variovorax_R27,Pseudomonas_putida_KT2442,0
223,Variovorax_R27,Sphingobium_R21,0
224,Variovorax_R27,Streptomyces_R07,0
225,Variovorax_R27,Variovorax_R27,0
