,Strain.ID,name,value HB,,,,Strain_ID,name,value MRS,,,value HB,value MRS,Diff,Interpretation,,,,
1,Bacillus_SCH24,Bacillus_SCH24,0,,,1,Bacillus_SCH24,Bacillus_SCH24,0,,,0,0,0,Identical,,,,
2,Bacillus_SCH24,Burkholderia_RCH25,1,,,2,Bacillus_SCH24,Burkholderia_RCH25,0,,,1,0,1,OneStim,,,,
3,Bacillus_SCH24,Cellulosimicrobium_BM1,0,,,3,Bacillus_SCH24,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
4,Bacillus_SCH24,Chryseobacterium_SCH11,-1,,,4,Bacillus_SCH24,Chryseobacterium_SCH11,-1,,,-1,-1,0,Identical,,,,
5,Bacillus_SCH24,Dyadobacter_BM9,0,,,5,Bacillus_SCH24,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
6,Bacillus_SCH24,Ensifer_sp,0,,,6,Bacillus_SCH24,Ensifer_BM17,0,,,0,0,0,Identical,,,,
7,Bacillus_SCH24,Exiguobacterium_RDH25,0,,,7,Bacillus_SCH24,Exiguobacterium_RDH25,1,,,0,1,1,OneStim,,,,
8,Bacillus_SCH24,Luteibacter_BM7,0,,,8,Bacillus_SCH24,Luteibacter_BM7,1,,,0,1,1,OneStim,,,,
9,Bacillus_SCH24,Methylobacterium_RPE3,0,,,9,Bacillus_SCH24,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
10,Bacillus_SCH24,Microbacterium_BM4,0,,,10,Bacillus_SCH24,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
11,Bacillus_SCH24,Paenibacillus_E12,0,,,11,Bacillus_SCH24,Paenibacillus_E12,1,,,0,1,1,OneStim,,,,
12,Bacillus_SCH24,Pseudomonas_putida_KT2442,0,,,12,Bacillus_SCH24,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
13,Bacillus_SCH24,Sphingobium_Z2,0,,,13,Bacillus_SCH24,Sphingobium_Z2,1,,,0,1,1,OneStim,,,,
14,Bacillus_SCH24,Streptomyces_RCH20P,-4,,,14,Bacillus_SCH24,Streptomyces_RCH20P,-5,,,-4,-5,1,CloseEnough,,,,
15,Bacillus_SCH24,Variovax_RPC5,0,,,15,Bacillus_SCH24,Variovax_RPC5,1,,,0,1,1,OneStim,,,,
16,Burkholderia_RCH25,Bacillus_SCH24,-2,,,16,Burkholderia_RCH25,Bacillus_SCH24,0,,,-2,0,2,CloseEnough,,,,
17,Burkholderia_RCH25,Burkholderia_RCH25,-2,,,17,Burkholderia_RCH25,Burkholderia_RCH25,-2,,,-2,-2,0,Identical,,,,
18,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,,,18,Burkholderia_RCH25,Cellulosimicrobium_BM1,2,,,0,2,2,OneStim,,,,
19,Burkholderia_RCH25,Chryseobacterium_SCH11,0,,,19,Burkholderia_RCH25,Chryseobacterium_SCH11,0,,,0,0,0,Identical,,,,
20,Burkholderia_RCH25,Dyadobacter_BM9,0,,,20,Burkholderia_RCH25,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
21,Burkholderia_RCH25,Ensifer_sp,0,,,21,Burkholderia_RCH25,Ensifer_BM17,0,,,0,0,0,Identical,,,,
22,Burkholderia_RCH25,Exiguobacterium_RDH25,0,,,22,Burkholderia_RCH25,Exiguobacterium_RDH25,0,,,0,0,0,Identical,,,,
23,Burkholderia_RCH25,Luteibacter_BM7,0,,,23,Burkholderia_RCH25,Luteibacter_BM7,0,,,0,0,0,Identical,,,,
24,Burkholderia_RCH25,Methylobacterium_RPE3,0,,,24,Burkholderia_RCH25,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
25,Burkholderia_RCH25,Microbacterium_BM4,0,,,25,Burkholderia_RCH25,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
26,Burkholderia_RCH25,Paenibacillus_E12,0,,,26,Burkholderia_RCH25,Paenibacillus_E12,1,,,0,1,1,OneStim,,,,
27,Burkholderia_RCH25,Pseudomonas_putida_KT2442,0,,,27,Burkholderia_RCH25,Pseudomonas_putida_KT2442,-2,,,0,-2,2,CloseEnough,,,,
28,Burkholderia_RCH25,Sphingobium_Z2,0,,,28,Burkholderia_RCH25,Sphingobium_Z2,0,,,0,0,0,Identical,,,,
