,Strain_ID,name,value MRS,,,,Strain.ID,name,value HB,,,value MRS,value HB
1,Bacillus_SCH24,Bacillus_SCH24,0,,,1,Bacillus_SCH24,Bacillus_SCH24,0,,,0,0
2,Bacillus_SCH24,Burkholderia_RCH25,1,,,2,Bacillus_SCH24,Burkholderia_RCH25,1,,,1,1
3,Bacillus_SCH24,Cellulosimicrobium_BM1,0,,,3,Bacillus_SCH24,Cellulosimicrobium_BM1,0,,,0,0
4,Bacillus_SCH24,Chryseobacterium_SCH11,-1,,,4,Bacillus_SCH24,Chryseobacterium_SCH11,-1,,,-1,-1
5,Bacillus_SCH24,Dyadobacter_BM9,0,,,5,Bacillus_SCH24,Dyadobacter_BM9,0,,,0,0
6,Bacillus_SCH24,Ensifer_BM17,0,,,6,Bacillus_SCH24,Ensifer_sp,0,,,0,0
7,Bacillus_SCH24,Exiguobacterium_RDH25,1,,,7,Bacillus_SCH24,Exiguobacterium_RDH25,0,,,1,0
8,Bacillus_SCH24,Luteibacter_BM7,1,,,8,Bacillus_SCH24,Luteibacter_BM7,0,,,1,0
9,Bacillus_SCH24,Methylobacterium_RPE3,0,,,9,Bacillus_SCH24,Methylobacterium_RPE3,0,,,0,0
10,Bacillus_SCH24,Microbacterium_BM4,0,,,10,Bacillus_SCH24,Microbacterium_BM4,0,,,0,0
11,Bacillus_SCH24,Paenibacillus_E12,1,,,11,Bacillus_SCH24,Paenibacillus_E12,0,,,1,0
12,Bacillus_SCH24,Pseudomonas_putida_KT2442,1,,,12,Bacillus_SCH24,Pseudomonas_putida_KT2442,0,,,1,0
13,Bacillus_SCH24,Sphingobium_Z2,2,,,13,Bacillus_SCH24,Sphingobium_Z2,0,,,2,0
14,Bacillus_SCH24,Streptomyces_RCH20P,-7,,,14,Bacillus_SCH24,Streptomyces_RCH20P,-4,,,-7,-4
15,Bacillus_SCH24,Variovax_RPC5,1,,,15,Bacillus_SCH24,Variovax_RPC5,0,,,1,0
16,Burkholderia_RCH25,Bacillus_SCH24,0,,,16,Burkholderia_RCH25,Bacillus_SCH24,0,,,0,0
17,Burkholderia_RCH25,Burkholderia_RCH25,-1,,,17,Burkholderia_RCH25,Burkholderia_RCH25,-1,,,-1,-1
18,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,,,18,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,,,0,0
19,Burkholderia_RCH25,Chryseobacterium_SCH11,0,,,19,Burkholderia_RCH25,Chryseobacterium_SCH11,0,,,0,0
20,Burkholderia_RCH25,Dyadobacter_BM9,0,,,20,Burkholderia_RCH25,Dyadobacter_BM9,0,,,0,0
21,Burkholderia_RCH25,Ensifer_BM17,0,,,21,Burkholderia_RCH25,Ensifer_sp,0,,,0,0
