"","Strain_ID","name","value"
"1","Dyadobacter_BM9","Dyadobacter_BM9","4inc"
"2","Dyadobacter_BM9","Chryseobacterium_SCH11","2"
"3","Dyadobacter_BM9","Pseudomonas_putida_KT2442","2 (LD)"
"4","Dyadobacter_BM9","Burkholderia_RCH25","1"
"5","Dyadobacter_BM9","Variovax_RPC5","2inc"
"6","Dyadobacter_BM9","Methylobacterium_RPE3","0"
"7","Dyadobacter_BM9","Streptomyces_RCH20P","5"
"8","Dyadobacter_BM9","Exiguobacterium_RDH25","3 (LD)"
"9","Dyadobacter_BM9","Bacillus_SCH24","2"
"10","Dyadobacter_BM9","Paenibacillus_E12","1 (LD)"
"11","Dyadobacter_BM9","Sphingobium_Z2","1inc"
"12","Dyadobacter_BM9","Cellulosimicrobium_BM1","0"
"13","Dyadobacter_BM9","Microbacterium_BM4","0"
"14","Dyadobacter_BM9","Luteibacter_BM7","1inc"
"15","Dyadobacter_BM9","Ensifer_sp","0"
"16","Chryseobacterium_SCH11","Dyadobacter_BM9","3 (LD)"
"17","Chryseobacterium_SCH11","Chryseobacterium_SCH11","2 (LD)"
"18","Chryseobacterium_SCH11","Pseudomonas_putida_KT2442","3"
"19","Chryseobacterium_SCH11","Burkholderia_RCH25","1"
"20","Chryseobacterium_SCH11","Variovax_RPC5","0"
"21","Chryseobacterium_SCH11","Methylobacterium_RPE3","NG"
"22","Chryseobacterium_SCH11","Streptomyces_RCH20P","2 (LD)"
"23","Chryseobacterium_SCH11","Exiguobacterium_RDH25","0"
"24","Chryseobacterium_SCH11","Bacillus_SCH24","1"
"25","Chryseobacterium_SCH11","Paenibacillus_E12","1inc"
"26","Chryseobacterium_SCH11","Sphingobium_Z2","0"
"27","Chryseobacterium_SCH11","Cellulosimicrobium_BM1","1 (LD)"
"28","Chryseobacterium_SCH11","Microbacterium_BM4","0"
"29","Chryseobacterium_SCH11","Luteibacter_BM7","0"
"30","Chryseobacterium_SCH11","Ensifer_sp","0"
"31","Pseudomonas_putida_KT2442","Dyadobacter_BM9","0"
"32","Pseudomonas_putida_KT2442","Chryseobacterium_SCH11","1inc"
"33","Pseudomonas_putida_KT2442","Pseudomonas_putida_KT2442","1 (LD)"
"34","Pseudomonas_putida_KT2442","Burkholderia_RCH25","0"
"35","Pseudomonas_putida_KT2442","Variovax_RPC5","0"
"36","Pseudomonas_putida_KT2442","Methylobacterium_RPE3","NG"
"37","Pseudomonas_putida_KT2442","Streptomyces_RCH20P","0"
"38","Pseudomonas_putida_KT2442","Exiguobacterium_RDH25","0"
"39","Pseudomonas_putida_KT2442","Bacillus_SCH24","0"
"40","Pseudomonas_putida_KT2442","Paenibacillus_E12","0"
"41","Pseudomonas_putida_KT2442","Sphingobium_Z2","0"
"42","Pseudomonas_putida_KT2442","Cellulosimicrobium_BM1","0"
"43","Pseudomonas_putida_KT2442","Microbacterium_BM4","0"
"44","Pseudomonas_putida_KT2442","Luteibacter_BM7","1inc"
"45","Pseudomonas_putida_KT2442","Ensifer_sp","0"
"46","Burkholderia_RCH25","Dyadobacter_BM9","1inc?"
"47","Burkholderia_RCH25","Chryseobacterium_SCH11","1inc"
"48","Burkholderia_RCH25","Pseudomonas_putida_KT2442","3 (LD)"
"49","Burkholderia_RCH25","Burkholderia_RCH25","2 (LD)"
"50","Burkholderia_RCH25","Variovax_RPC5","0"
"51","Burkholderia_RCH25","Methylobacterium_RPE3","0"
"52","Burkholderia_RCH25","Streptomyces_RCH20P","2 (LD)"
"53","Burkholderia_RCH25","Exiguobacterium_RDH25","0"
"54","Burkholderia_RCH25","Bacillus_SCH24","0"
"55","Burkholderia_RCH25","Paenibacillus_E12","1inc"
"56","Burkholderia_RCH25","Sphingobium_Z2","0"
"57","Burkholderia_RCH25","Cellulosimicrobium_BM1","0"
"58","Burkholderia_RCH25","Microbacterium_BM4","0"
"59","Burkholderia_RCH25","Luteibacter_BM7","1inc"
"60","Burkholderia_RCH25","Ensifer_sp","0"
"61","Variovax_RPC5","Dyadobacter_BM9","0"
"62","Variovax_RPC5","Chryseobacterium_SCH11","1inc"
"63","Variovax_RPC5","Pseudomonas_putida_KT2442","4 (LD)"
"64","Variovax_RPC5","Burkholderia_RCH25","7"
"65","Variovax_RPC5","Variovax_RPC5","0"
"66","Variovax_RPC5","Methylobacterium_RPE3","0"
"67","Variovax_RPC5","Streptomyces_RCH20P","4 (LD)"
"68","Variovax_RPC5","Exiguobacterium_RDH25","0"
"69","Variovax_RPC5","Bacillus_SCH24","1 (LD)"
"70","Variovax_RPC5","Paenibacillus_E12","2"
"71","Variovax_RPC5","Sphingobium_Z2","0"
"72","Variovax_RPC5","Cellulosimicrobium_BM1","0"
"73","Variovax_RPC5","Microbacterium_BM4","0"
"74","Variovax_RPC5","Luteibacter_BM7","2inc"
"75","Variovax_RPC5","Ensifer_sp","0"
"76","Methylobacterium_RPE3","Dyadobacter_BM9","5"
"77","Methylobacterium_RPE3","Chryseobacterium_SCH11","1"
"78","Methylobacterium_RPE3","Pseudomonas_putida_KT2442","3"
"79","Methylobacterium_RPE3","Burkholderia_RCH25","6"
"80","Methylobacterium_RPE3","Variovax_RPC5","0"
"81","Methylobacterium_RPE3","Methylobacterium_RPE3","0"
"82","Methylobacterium_RPE3","Streptomyces_RCH20P","1 (LD)"
"83","Methylobacterium_RPE3","Exiguobacterium_RDH25","0"
"84","Methylobacterium_RPE3","Bacillus_SCH24","2 (LD)"
"85","Methylobacterium_RPE3","Paenibacillus_E12","1"
"86","Methylobacterium_RPE3","Sphingobium_Z2","0"
"87","Methylobacterium_RPE3","Cellulosimicrobium_BM1","0"
"88","Methylobacterium_RPE3","Microbacterium_BM4","0"
"89","Methylobacterium_RPE3","Luteibacter_BM7","0"
"90","Methylobacterium_RPE3","Ensifer_sp","0"
"91","Streptomyces_RCH20P","Dyadobacter_BM9","3"
"92","Streptomyces_RCH20P","Chryseobacterium_SCH11","1 (LD)"
"93","Streptomyces_RCH20P","Pseudomonas_putida_KT2442","1 (LD)"
"94","Streptomyces_RCH20P","Burkholderia_RCH25","5"
"95","Streptomyces_RCH20P","Variovax_RPC5","0"
"96","Streptomyces_RCH20P","Methylobacterium_RPE3","0"
"97","Streptomyces_RCH20P","Streptomyces_RCH20P","0"
"98","Streptomyces_RCH20P","Exiguobacterium_RDH25","0"
"99","Streptomyces_RCH20P","Bacillus_SCH24","2"
"100","Streptomyces_RCH20P","Paenibacillus_E12","0"
"101","Streptomyces_RCH20P","Sphingobium_Z2","0"
"102","Streptomyces_RCH20P","Cellulosimicrobium_BM1","0"
"103","Streptomyces_RCH20P","Microbacterium_BM4","0"
"104","Streptomyces_RCH20P","Luteibacter_BM7","0"
"105","Streptomyces_RCH20P","Ensifer_sp","0"
"106","Exiguobacterium_RDH25","Dyadobacter_BM9","3 (LD)"
"107","Exiguobacterium_RDH25","Chryseobacterium_SCH11","2 (LD)"
"108","Exiguobacterium_RDH25","Pseudomonas_putida_KT2442","2 (LD)"
"109","Exiguobacterium_RDH25","Burkholderia_RCH25","0"
"110","Exiguobacterium_RDH25","Variovax_RPC5","0"
"111","Exiguobacterium_RDH25","Methylobacterium_RPE3","0"
"112","Exiguobacterium_RDH25","Streptomyces_RCH20P","1 (LD)"
"113","Exiguobacterium_RDH25","Exiguobacterium_RDH25","0"
"114","Exiguobacterium_RDH25","Bacillus_SCH24","3, 2inc"
"115","Exiguobacterium_RDH25","Paenibacillus_E12","0"
"116","Exiguobacterium_RDH25","Sphingobium_Z2","0"
"117","Exiguobacterium_RDH25","Cellulosimicrobium_BM1","0"
"118","Exiguobacterium_RDH25","Microbacterium_BM4","0"
"119","Exiguobacterium_RDH25","Luteibacter_BM7","0"
"120","Exiguobacterium_RDH25","Ensifer_sp","0"
"121","Bacillus_SCH24","Dyadobacter_BM9","1 (LD)"
"122","Bacillus_SCH24","Chryseobacterium_SCH11","1"
"123","Bacillus_SCH24","Pseudomonas_putida_KT2442","2 (LD)"
"124","Bacillus_SCH24","Burkholderia_RCH25","2 (LD)"
"125","Bacillus_SCH24","Variovax_RPC5","0"
"126","Bacillus_SCH24","Methylobacterium_RPE3","0"
"127","Bacillus_SCH24","Streptomyces_RCH20P","4"
"128","Bacillus_SCH24","Exiguobacterium_RDH25","1inc"
"129","Bacillus_SCH24","Bacillus_SCH24","1inc"
"130","Bacillus_SCH24","Paenibacillus_E12","2inc"
"131","Bacillus_SCH24","Sphingobium_Z2","0"
"132","Bacillus_SCH24","Cellulosimicrobium_BM1","0"
