,Strain_ID,name,value,Lawn,Spot,MediaTime,Media,Fe,Time,Dataset
579,Bacillus_SCH24,Bacillus_SCH24,0,Bacillus_SCH24,Bacillus_SCH24,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
804,Bacillus_SCH24,Bacillus_SCH24,0,Bacillus_SCH24,Bacillus_SCH24,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
129,Bacillus_SCH24,Bacillus_SCH24,1,Bacillus_SCH24,Bacillus_SCH24,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
354,Bacillus_SCH24,Bacillus_SCH24,0,Bacillus_SCH24,Bacillus_SCH24,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
572,Bacillus_SCH24,Burkholderia_RCH25,0,Bacillus_SCH24,Burkholderia_RCH25,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
797,Bacillus_SCH24,Burkholderia_RCH25,1,Bacillus_SCH24,Burkholderia_RCH25,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
124,Bacillus_SCH24,Burkholderia_RCH25,-2,Bacillus_SCH24,Burkholderia_RCH25,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
349,Bacillus_SCH24,Burkholderia_RCH25,-3,Bacillus_SCH24,Burkholderia_RCH25,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
582,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Bacillus_SCH24,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
807,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Bacillus_SCH24,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
132,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Bacillus_SCH24,Cellulosimicrobium_BM1,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
357,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Bacillus_SCH24,Cellulosimicrobium_BM1,"1/2 TSA, 96h",1/2 TSA,#NAME?,96h,Marissa
576,Bacillus_SCH24,Chryseobacterium_SCH11,-1,Bacillus_SCH24,Chryseobacterium_SCH11,"1/2 TSA + Fe, 48h",1/2 TSA,#NAME?,48h,Marissa
801,Bacillus_SCH24,Chryseobacterium_SCH11,-1,Bacillus_SCH24,Chryseobacterium_SCH11,"1/2 TSA + Fe, 96h",1/2 TSA,#NAME?,96h,Marissa
122,Bacillus_SCH24,Chryseobacterium_SCH11,-1,Bacillus_SCH24,Chryseobacterium_SCH11,"1/2 TSA, 48h",1/2 TSA,#NAME?,48h,Marissa
