Strain_ID,name,value,Target,Source,Interaction
KT2442,RDP22,8,KT2442,RDP22,8
KT2442,RDP27,0,KT2442,RDP27,0
KT2442,E5,0,KT2442,E5,0
KT2442,RPE1,0,KT2442,RPE1,0
KT2442,PAO1,0,KT2442,PAO1,0
KT2442,PF5,0,KT2442,PF5,0
RCH20P,KT2442,0,RCH20P,KT2442,0
RCH20P,RDP22,0,RCH20P,RDP22,0
RCH20P,RDP27,-1,RCH20P,RDP27,-1
RCH20P,E5,-2,RCH20P,E5,-2
RCH20P,RPE1,0,RCH20P,RPE1,0
RCH20P,PAO1,-2,RCH20P,PAO1,-2
RCH20P,PF5,-3,RCH20P,PF5,-3
BM16,KT2442,0,BM16,KT2442,0
BM16,RDP22,0,BM16,RDP22,0
BM16,RDP27,0,BM16,RDP27,0
BM16,E5,-2,BM16,E5,-2
BM16,RPE1,0,BM16,RPE1,0
BM16,PAO1,-2,BM16,PAO1,-2
BM16,PF5,-4,BM16,PF5,-4
R1,KT2442,0,R1,KT2442,0
R1,RDP22,0,R1,RDP22,0
R1,RDP27,0,R1,RDP27,0
R1,E5,-7,R1,E5,-7
R1,RPE1,-2,R1,RPE1,-2
R1,PAO1,-2,R1,PAO1,-2
R1,PF5,-6,R1,PF5,-6
RDH1,KT2442,0,RDH1,KT2442,0
RDH1,RDP22,0,RDH1,RDP22,0
RDH1,RDP27,-1,RDH1,RDP27,-1
RDH1,E5,-1,RDH1,E5,-1
RDH1,RPE1,-1,RDH1,RPE1,-1
RDH1,PAO1,-2,RDH1,PAO1,-2
RDH1,PF5,-2,RDH1,PF5,-2
BM17,KT2442,-1,BM17,KT2442,-1
BM17,RDP22,1,BM17,RDP22,1
BM17,RDP27,-3,BM17,RDP27,-3
BM17,E5,-5,BM17,E5,-5
BM17,RPE1,-3,BM17,RPE1,-3
BM17,PAO1,-1,BM17,PAO1,-1
BM17,PF5,-1,BM17,PF5,-1
E15,KT2442,0,E15,KT2442,0
E15,RDP22,0,E15,RDP22,0
E15,RDP27,-5,E15,RDP27,-5
E15,E5,0,E15,E5,0
E15,RPE1,0,E15,RPE1,0
E15,PAO1,-1,E15,PAO1,-1
E15,PF5,-1,E15,PF5,-1
BM23,KT2442,-4,BM23,KT2442,-4
BM23,RDP22,0,BM23,RDP22,0
BM23,RDP27,-4,BM23,RDP27,-4
BM23,E5,-5,BM23,E5,-5
BM23,RPE1,-5,BM23,RPE1,-5
BM23,PAO1,-3,BM23,PAO1,-3
BM23,PF5,-3,BM23,PF5,-3
E4,KT2442,0,E4,KT2442,0
E4,RDP22,5,E4,RDP22,5
E4,RDP27,5,E4,RDP27,5
E4,E5,0,E4,E5,0
E4,RPE1,5,E4,RPE1,5
E4,PAO1,-1,E4,PAO1,-1
E4,PF5,-1,E4,PF5,-1
Z2,KT2442,-1,Z2,KT2442,-1
Z2,RDP22,10,Z2,RDP22,10
Z2,RDP27,-4,Z2,RDP27,-4
Z2,E5,-8,Z2,E5,-8
Z2,RPE1,-3,Z2,RPE1,-3
Z2,PAO1,-4,Z2,PAO1,-4
Z2,PF5,-10,Z2,PF5,-10
RCH3,RDP22,0,RCH3,RDP22,0
RCH3,RDP27,-3,RCH3,RDP27,-3
RCH3,E5,-3,RCH3,E5,-3
RCH3,RPE1,-2,RCH3,RPE1,-2
RP5C,KT2442,-2,RP5C,KT2442,-2
RP5C,RDP22,2,RP5C,RDP22,2
RP5C,RDP27,0,RP5C,RDP27,0
RP5C,E5,-2,RP5C,E5,-2
RP5C,RPE1,0,RP5C,RPE1,0
RP5C,PAO1,-4,RP5C,PAO1,-4
RP5C,PF5,-4,RP5C,PF5,-4
BM21,KT2442,0,BM21,KT2442,0
BM21,RDP22,0,BM21,RDP22,0
BM21,RDP27,0,BM21,RDP27,0
BM21,E5,0,BM21,E5,0
BM21,RPE1,0,BM21,RPE1,0
BM21,PAO1,-2,BM21,PAO1,-2
BM21,PF5,-2,BM21,PF5,-2
RCH25,KT2442,0,RCH25,KT2442,0
RCH25,RDP22,0,RCH25,RDP22,0
RCH25,RDP27,0,RCH25,RDP27,0
RCH25,E5,0,RCH25,E5,0
RCH25,RPE1,0,RCH25,RPE1,0
RCH25,PAO1,-2,RCH25,PAO1,-2
RCH25,PF5,-2,RCH25,PF5,-2
RDH20,KT2442,0,RDH20,KT2442,0
RDH20,RDP22,-2,RDH20,RDP22,-2
RDH20,RDP27,1,RDH20,RDP27,1
RDH20,E5,-2,RDH20,E5,-2
RDH20,RPE1,-1,RDH20,RPE1,-1
RDH20,PAO1,-3,RDH20,PAO1,-3
RDH20,PF5,-3,RDH20,PF5,-3
RDH25,KT2442,2,RDH25,KT2442,2
RDH25,RDP22,1,RDH25,RDP22,1
RDH25,RDP27,3,RDH25,RDP27,3
RDH25,E5,-2,RDH25,E5,-2
RDH25,RPE1,6,RDH25,RPE1,6
RDH25,PAO1,-2,RDH25,PAO1,-2
RDH25,PF5,-2,RDH25,PF5,-2
SCH24,KT2442,0,SCH24,KT2442,0
SCH24,RDP22,0,SCH24,RDP22,0
SCH24,RDP27,0,SCH24,RDP27,0
SCH24,E5,-4,SCH24,E5,-4
SCH24,RPE1,0,SCH24,RPE1,0
SCH24,PAO1,-4,SCH24,PAO1,-4
SCH24,PF5,-4,SCH24,PF5,-4
BM13,KT2442,0,BM13,KT2442,0
BM13,RDP22,0,BM13,RDP22,0
BM13,RDP27,0,BM13,RDP27,0
BM13,E5,-6,BM13,E5,-6
BM13,RPE1,-1,BM13,RPE1,-1
BM13,PAO1,-6,BM13,PAO1,-6
BM13,PF5,-6,BM13,PF5,-6
BM1,KT2442,0,BM1,KT2442,0
BM1,RDP22,0,BM1,RDP22,0
BM1,RDP27,0,BM1,RDP27,0
BM1,E5,-7,BM1,E5,-7
BM1,RPE1,-2,BM1,RPE1,-2
BM1,PAO1,-5,BM1,PAO1,-5
BM1,PF5,-8,BM1,PF5,-8
SCH4,KT2442,0,SCH4,KT2442,0
SCH4,RDP22,0,SCH4,RDP22,0
SCH4,RDP27,-4,SCH4,RDP27,-4
SCH4,E5,-2,SCH4,E5,-2
SCH4,RPE1,1,SCH4,RPE1,1
SCH4,PAO1,-8,SCH4,PAO1,-8
SCH4,PF5,-8,SCH4,PF5,-8
RDH6,KT2442,0,RDH6,KT2442,0
RDH6,RDP22,0,RDH6,RDP22,0
