Strain_ID,name,value,Target,Source,Interaction,InteractionType,LineWeights,IronSupp
R23,PF5,-10,R23,PF5,-10,inhibition,3,Fe
RP5H,E5,-10,RP5H,E5,-10,inhibition,3,Fe
RP5H,PAO1,-10,RP5H,PAO1,-10,inhibition,3,Fe
RP5H,PF5,-10,RP5H,PF5,-10,inhibition,3,Fe
Z2,PF5,-10,Z2,PF5,-10,inhibition,3,Fe
RDH6,E5,-9,RDH6,E5,-9,inhibition,2.8,Fe
BM1,PF5,-8,BM1,PF5,-8,inhibition,2.6,Fe
BM12,E5,-8,BM12,E5,-8,inhibition,2.6,Fe
BM12,RPE1,-8,BM12,RPE1,-8,inhibition,2.6,Fe
R23,PAO1,-8,R23,PAO1,-8,inhibition,2.6,Fe
SCH4,PAO1,-8,SCH4,PAO1,-8,inhibition,2.6,Fe
SCH4,PF5,-8,SCH4,PF5,-8,inhibition,2.6,Fe
Z2,E5,-8,Z2,E5,-8,inhibition,2.6,Fe
BM1,E5,-7,BM1,E5,-7,inhibition,2.4,Fe
R1,E5,-7,R1,E5,-7,inhibition,2.4,Fe
RDH6,PAO1,-7,RDH6,PAO1,-7,inhibition,2.4,Fe
RDH6,PF5,-7,RDH6,PF5,-7,inhibition,2.4,Fe
BM13,E5,-6,BM13,E5,-6,inhibition,2.2,Fe
BM13,PAO1,-6,BM13,PAO1,-6,inhibition,2.2,Fe
BM13,PF5,-6,BM13,PF5,-6,inhibition,2.2,Fe
BM7,RPE1,-6,BM7,RPE1,-6,inhibition,2.2,Fe
R1,PF5,-6,R1,PF5,-6,inhibition,2.2,Fe
SCH11,KT2442,-6,SCH11,KT2442,-6,inhibition,2.2,Fe
BM1,PAO1,-5,BM1,PAO1,-5,inhibition,2,Fe
BM17,E5,-5,BM17,E5,-5,inhibition,2,Fe
BM23,E5,-5,BM23,E5,-5,inhibition,2,Fe
BM23,RPE1,-5,BM23,RPE1,-5,inhibition,2,Fe
BM7,E5,-5,BM7,E5,-5,inhibition,2,Fe
BM7,PAO1,-5,BM7,PAO1,-5,inhibition,2,Fe
BM7,PF5,-5,BM7,PF5,-5,inhibition,2,Fe
E15,RDP27,-5,E15,RDP27,-5,inhibition,2,Fe
R23,KT2442,-5,R23,KT2442,-5,inhibition,2,Fe
R23,RPE1,-5,R23,RPE1,-5,inhibition,2,Fe
RDP22,PF5,-5,RDP22,PF5,-5,inhibition,2,Fe
SCH11,RPE1,-5,SCH11,RPE1,-5,inhibition,2,Fe
SCH11,PAO1,-5,SCH11,PAO1,-5,inhibition,2,Fe
SCH11,PF5,-5,SCH11,PF5,-5,inhibition,2,Fe
BM12,KT2442,-4,BM12,KT2442,-4,inhibition,1.8,Fe
BM12,RDP27,-4,BM12,RDP27,-4,inhibition,1.8,Fe
BM12,PAO1,-4,BM12,PAO1,-4,inhibition,1.8,Fe
BM12,PF5,-4,BM12,PF5,-4,inhibition,1.8,Fe
BM16,PF5,-4,BM16,PF5,-4,inhibition,1.8,Fe
BM23,KT2442,-4,BM23,KT2442,-4,inhibition,1.8,Fe
BM23,RDP27,-4,BM23,RDP27,-4,inhibition,1.8,Fe
R23,E5,-4,R23,E5,-4,inhibition,1.8,Fe
RDP22,PAO1,-4,RDP22,PAO1,-4,inhibition,1.8,Fe
RP5C,PAO1,-4,RP5C,PAO1,-4,inhibition,1.8,Fe
RP5C,PF5,-4,RP5C,PF5,-4,inhibition,1.8,Fe
SCH11,RDP27,-4,SCH11,RDP27,-4,inhibition,1.8,Fe
SCH11,E5,-4,SCH11,E5,-4,inhibition,1.8,Fe
SCH24,E5,-4,SCH24,E5,-4,inhibition,1.8,Fe
SCH24,PAO1,-4,SCH24,PAO1,-4,inhibition,1.8,Fe
SCH24,PF5,-4,SCH24,PF5,-4,inhibition,1.8,Fe
SCH4,RDP27,-4,SCH4,RDP27,-4,inhibition,1.8,Fe
Z2,RDP27,-4,Z2,RDP27,-4,inhibition,1.8,Fe
Z2,PAO1,-4,Z2,PAO1,-4,inhibition,1.8,Fe
BM17,RDP27,-3,BM17,RDP27,-3,inhibition,1.6,Fe
BM17,RPE1,-3,BM17,RPE1,-3,inhibition,1.6,Fe
BM23,PAO1,-3,BM23,PAO1,-3,inhibition,1.6,Fe
BM23,PF5,-3,BM23,PF5,-3,inhibition,1.6,Fe
RCH20P,PF5,-3,RCH20P,PF5,-3,inhibition,1.6,Fe
RCH3,RDP27,-3,RCH3,RDP27,-3,inhibition,1.6,Fe
RCH3,E5,-3,RCH3,E5,-3,inhibition,1.6,Fe
RDH20,PAO1,-3,RDH20,PAO1,-3,inhibition,1.6,Fe
RDH20,PF5,-3,RDH20,PF5,-3,inhibition,1.6,Fe
RP5H,RDP22,-3,RP5H,RDP22,-3,inhibition,1.6,Fe
S20,RPE1,-3,S20,RPE1,-3,inhibition,1.6,Fe
S20,PAO1,-3,S20,PAO1,-3,inhibition,1.6,Fe
S20,PF5,-3,S20,PF5,-3,inhibition,1.6,Fe
Z2,RPE1,-3,Z2,RPE1,-3,inhibition,1.6,Fe
BM1,RPE1,-2,BM1,RPE1,-2,inhibition,1.4,Fe
BM16,E5,-2,BM16,E5,-2,inhibition,1.4,Fe
BM16,PAO1,-2,BM16,PAO1,-2,inhibition,1.4,Fe
BM21,PAO1,-2,BM21,PAO1,-2,inhibition,1.4,Fe
BM21,PF5,-2,BM21,PF5,-2,inhibition,1.4,Fe
BM25,PAO1,-2,BM25,PAO1,-2,inhibition,1.4,Fe
BM25,PF5,-2,BM25,PF5,-2,inhibition,1.4,Fe
R1,RPE1,-2,R1,RPE1,-2,inhibition,1.4,Fe
R1,PAO1,-2,R1,PAO1,-2,inhibition,1.4,Fe
R23,RDP27,-2,R23,RDP27,-2,inhibition,1.4,Fe
RCH20P,E5,-2,RCH20P,E5,-2,inhibition,1.4,Fe
RCH20P,PAO1,-2,RCH20P,PAO1,-2,inhibition,1.4,Fe
RCH25,PAO1,-2,RCH25,PAO1,-2,inhibition,1.4,Fe
RCH25,PF5,-2,RCH25,PF5,-2,inhibition,1.4,Fe
RCH3,RPE1,-2,RCH3,RPE1,-2,inhibition,1.4,Fe
RDH1,PAO1,-2,RDH1,PAO1,-2,inhibition,1.4,Fe
RDH1,PF5,-2,RDH1,PF5,-2,inhibition,1.4,Fe
RDH20,RDP22,-2,RDH20,RDP22,-2,inhibition,1.4,Fe
RDH20,E5,-2,RDH20,E5,-2,inhibition,1.4,Fe
RDH25,E5,-2,RDH25,E5,-2,inhibition,1.4,Fe
RDH25,PAO1,-2,RDH25,PAO1,-2,inhibition,1.4,Fe
RDH25,PF5,-2,RDH25,PF5,-2,inhibition,1.4,Fe
RP5C,KT2442,-2,RP5C,KT2442,-2,inhibition,1.4,Fe
RP5C,E5,-2,RP5C,E5,-2,inhibition,1.4,Fe
RP5H,KT2442,-2,RP5H,KT2442,-2,inhibition,1.4,Fe
RP5H,RPE1,-2,RP5H,RPE1,-2,inhibition,1.4,Fe
S20,E5,-2,S20,E5,-2,inhibition,1.4,Fe
SCH4,E5,-2,SCH4,E5,-2,inhibition,1.4,Fe
BM13,RPE1,-1,BM13,RPE1,-1,inhibition,1.2,Fe
BM17,KT2442,-1,BM17,KT2442,-1,inhibition,1.2,Fe
BM17,PAO1,-1,BM17,PAO1,-1,inhibition,1.2,Fe
BM17,PF5,-1,BM17,PF5,-1,inhibition,1.2,Fe
BM7,KT2442,-1,BM7,KT2442,-1,inhibition,1.2,Fe
E15,PAO1,-1,E15,PAO1,-1,inhibition,1.2,Fe
E15,PF5,-1,E15,PF5,-1,inhibition,1.2,Fe
E4,PAO1,-1,E4,PAO1,-1,inhibition,1.2,Fe
E4,PF5,-1,E4,PF5,-1,inhibition,1.2,Fe
RCH20P,RDP27,-1,RCH20P,RDP27,-1,inhibition,1.2,Fe
RDH1,RDP27,-1,RDH1,RDP27,-1,inhibition,1.2,Fe
RDH1,E5,-1,RDH1,E5,-1,inhibition,1.2,Fe
RDH1,RPE1,-1,RDH1,RPE1,-1,inhibition,1.2,Fe
RDH20,RPE1,-1,RDH20,RPE1,-1,inhibition,1.2,Fe
RDP22,RPE1,-1,RDP22,RPE1,-1,inhibition,1.2,Fe
RDP27,PAO1,-1,RDP27,PAO1,-1,inhibition,1.2,Fe
RDP27,PF5,-1,RDP27,PF5,-1,inhibition,1.2,Fe
RP5H,RDP27,-1,RP5H,RDP27,-1,inhibition,1.2,Fe
RPA1,RPE1,-1,RPA1,RPE1,-1,inhibition,1.2,Fe
RPA1,PAO1,-1,RPA1,PAO1,-1,inhibition,1.2,Fe
RPA1,PF5,-1,RPA1,PF5,-1,inhibition,1.2,Fe
S20,KT2442,-1,S20,KT2442,-1,inhibition,1.2,Fe
Z2,KT2442,-1,Z2,KT2442,-1,inhibition,1.2,Fe
BM17,RDP22,1,BM17,RDP22,1,stimulation,1.2,Fe
RDH20,RDP27,1,RDH20,RDP27,1,stimulation,1.2,Fe
RDH25,RDP22,1,RDH25,RDP22,1,stimulation,1.2,Fe
RPA1,RDP22,1,RPA1,RDP22,1,stimulation,1.2,Fe
SCH4,RPE1,1,SCH4,RPE1,1,stimulation,1.2,Fe
RDH25,KT2442,2,RDH25,KT2442,2,stimulation,1.4,Fe
RDP27,RDP22,2,RDP27,RDP22,2,stimulation,1.4,Fe
RP5C,RDP22,2,RP5C,RDP22,2,stimulation,1.4,Fe
BM7,RDP22,3,BM7,RDP22,3,stimulation,1.6,Fe
RDH25,RDP27,3,RDH25,RDP27,3,stimulation,1.6,Fe
BM12,RDP22,5,BM12,RDP22,5,stimulation,2,Fe
E4,RDP22,5,E4,RDP22,5,stimulation,2,Fe
E4,RDP27,5,E4,RDP27,5,stimulation,2,Fe
E4,RPE1,5,E4,RPE1,5,stimulation,2,Fe
RDH25,RPE1,6,RDH25,RPE1,6,stimulation,2.2,Fe
RDP22,E5,7,RDP22,E5,7,stimulation,2.4,Fe
S20,RDP22,7,S20,RDP22,7,stimulation,2.4,Fe
KT2442,RDP22,8,KT2442,RDP22,8,stimulation,2.6,Fe
R23,RDP22,8,R23,RDP22,8,stimulation,2.6,Fe
Z2,RDP22,10,Z2,RDP22,10,stimulation,3,Fe
