Target,Source,Interaction,Inhibition,stimulation
KT2442,KT2442,-1,inhibition,none
KT2442,RDP22,0,none,none
KT2442,RDP27,0,none,none
KT2442,E5,-1,inhibition,none
KT2442,RP5,0,none,none
KT2442,BM7,0,none,none
KT2442,BM12,0,none,none
KT2442,BM25,0,none,none
KT2442,R23,0,none,none
KT2442,S20,1,none,stimulation
KT2442,RPA1,0,none,none
KT2442,RPC5,0,none,none
KT2442,SH9,-1,inhibition,none
KT2442,RCH25,0,none,none
KT2442,E15,-2,inhibition,none
KT2442,BM23,-1,inhibition,none
KT2442,E4,0,none,none
KT2442,RPE3,0,none,none
KT2442,Z2,0,none,none
KT2442,RDH25,0,none,none
KT2442,SCH24,0,none,none
KT2442,E12,0,none,none
KT2442,BM13,0,none,none
KT2442,BM1,0,none,none
KT2442,SCH4,0,none,none
KT2442,BM4,-1,inhibition,none
KT2442,RDH6,-1,inhibition,none
KT2442,RCH20P,0,none,none
KT2442,BM16,0,none,none
KT2442,RP5H,0,none,none
KT2442,BM9,0,none,none
KT2442,SCH11,0,none,none
RDP22,KT2442,-2,inhibition,none
RDP22,RDP22,0,none,none
RDP22,RDP27,-1,inhibition,none
RDP22,E5,-1,inhibition,none
RDP22,RP5,0,none,none
RDP22,BM7,0,none,none
RDP22,BM12,0,none,none
RDP22,BM25,0,none,none
RDP22,R23,0,none,none
RDP22,S20,0,none,none
RDP22,RPA1,0,none,none
RDP22,RPC5,0,none,none
RDP22,SH9,1,none,stimulation
RDP22,RCH25,1,none,stimulation
RDP22,E15,0,none,none
RDP22,BM23,0,none,none
RDP22,E4,0,none,none
RDP22,RPE3,0,none,none
RDP22,Z2,0,none,none
RDP22,RDH25,0,none,none
RDP22,SCH24,-4,inhibition,none
RDP22,E12,0,none,none
RDP22,BM13,0,none,none
RDP22,BM1,0,none,none
RDP22,SCH4,-6,inhibition,none
RDP22,BM4,0,none,none
RDP22,RDH6,-4,inhibition,none
RDP22,RCH20P,-4,inhibition,none
RDP22,BM16,0,none,none
RDP22,RP5H,0,none,none
RDP22,BM9,0,none,none
RDP22,SCH11,1,none,stimulation
