,Strain_ID,name,R2A 48h Final,R2A 48h Trial,Diff,Classification,,,Strain_ID,name,R2A 48h Trial,Lawn,Spot,MediaTime,Media,Time,TrialFinal
145,Bacillus_SCH24,Bacillus_SCH24,0,0,0,Identical,,,Bacillus_SCH24,Bacillus_SCH24,0,Bacillus_SCH24,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
140,Bacillus_SCH24,Burkholderia_RCH25,-2,-3,1,CloseEnough,,,Bacillus_SCH24,Burkholderia_RCH25,-3,Bacillus_SCH24,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
146,Bacillus_SCH24,Cellulosimicrobium_BM1,0,0,0,Identical,,,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Bacillus_SCH24,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
150,Bacillus_SCH24,Chryseobacterium_SCH11,0,0,0,Identical,,,Bacillus_SCH24,Chryseobacterium_SCH11,0,Bacillus_SCH24,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
149,Bacillus_SCH24,Dyadobacter_BM9,0,0,0,Identical,,,Bacillus_SCH24,Dyadobacter_BM9,0,Bacillus_SCH24,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
141,Bacillus_SCH24,Ensifer_sp,-1,0,-1,CloseEnough,,,Bacillus_SCH24,Ensifer_sp,0,Bacillus_SCH24,Ensifer_sp,R2A-48h,R2A,48h,Rep1
144,Bacillus_SCH24,Exiguobacterium_RDH25,0,0,0,Identical,,,Bacillus_SCH24,Exiguobacterium_RDH25,0,Bacillus_SCH24,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
137,Bacillus_SCH24,Luteibacter_BM7,0,0,0,Identical,,,Bacillus_SCH24,Luteibacter_BM7,0,Bacillus_SCH24,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
139,Bacillus_SCH24,Massilia_sp,-1,0,-1,CloseEnough,,,Bacillus_SCH24,Massilia_sp,0,Bacillus_SCH24,Massilia_sp,R2A-48h,R2A,48h,Rep1
142,Bacillus_SCH24,Methylobacterium_RPE3,0,0,0,Identical,,,Bacillus_SCH24,Methylobacterium_RPE3,0,Bacillus_SCH24,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
147,Bacillus_SCH24,Microbacterium_BM4,0,0,0,Identical,,,Bacillus_SCH24,Microbacterium_BM4,0,Bacillus_SCH24,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
136,Bacillus_SCH24,Pseudomonas_putida_KT2442,-1,-1,0,Identical,,,Bacillus_SCH24,Pseudomonas_putida_KT2442,-1,Bacillus_SCH24,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
143,Bacillus_SCH24,Sphingobium_Z2,2,0,2,CloseEnough,,,Bacillus_SCH24,Sphingobium_Z2,0,Bacillus_SCH24,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
148,Bacillus_SCH24,Streptomyces_RCH20P,-7,-6,-1,CloseEnough,,,Bacillus_SCH24,Streptomyces_RCH20P,-6,Bacillus_SCH24,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
138,Bacillus_SCH24,Variovax_RPC5,0,0,0,Identical,,,Bacillus_SCH24,Variovax_RPC5,0,Bacillus_SCH24,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
70,Burkholderia_RCH25,Bacillus_SCH24,-1,-2,1,CloseEnough,,,Burkholderia_RCH25,Bacillus_SCH24,-2,Burkholderia_RCH25,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
65,Burkholderia_RCH25,Burkholderia_RCH25,0,-2,2,CloseEnough,,,Burkholderia_RCH25,Burkholderia_RCH25,-2,Burkholderia_RCH25,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
71,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,-1,1,CloseEnough,,,Burkholderia_RCH25,Cellulosimicrobium_BM1,-1,Burkholderia_RCH25,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
75,Burkholderia_RCH25,Chryseobacterium_SCH11,-1,0,-1,CloseEnough,,,Burkholderia_RCH25,Chryseobacterium_SCH11,0,Burkholderia_RCH25,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
74,Burkholderia_RCH25,Dyadobacter_BM9,-1,-2,1,CloseEnough,,,Burkholderia_RCH25,Dyadobacter_BM9,-2,Burkholderia_RCH25,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
66,Burkholderia_RCH25,Ensifer_sp,-1,-1,0,Identical,,,Burkholderia_RCH25,Ensifer_sp,-1,Burkholderia_RCH25,Ensifer_sp,R2A-48h,R2A,48h,Rep1
69,Burkholderia_RCH25,Exiguobacterium_RDH25,-1,-2,1,CloseEnough,,,Burkholderia_RCH25,Exiguobacterium_RDH25,-2,Burkholderia_RCH25,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
62,Burkholderia_RCH25,Luteibacter_BM7,-2,0,-2,CloseEnough,,,Burkholderia_RCH25,Luteibacter_BM7,0,Burkholderia_RCH25,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
64,Burkholderia_RCH25,Massilia_sp,-1,0,-1,CloseEnough,,,Burkholderia_RCH25,Massilia_sp,0,Burkholderia_RCH25,Massilia_sp,R2A-48h,R2A,48h,Rep1
