,Strain_ID,name,Rep1,Strain_ID,name,Rep1,Trial,Diff,Classification,,Lawn,Spot,MediaTime,Media,Time,TrialFinal
145,Bacillus_SCH24,Bacillus_SCH24,0,Bacillus_SCH24,Bacillus_SCH24,0,0,0,Identical,,Bacillus_SCH24,Bacillus_SCH24,R2A-96h,R2A,96h,Rep1
140,Bacillus_SCH24,Burkholderia_RCH25,-3,Bacillus_SCH24,Burkholderia_RCH25,-3,-3,0,Identical,,Bacillus_SCH24,Burkholderia_RCH25,R2A-96h,R2A,96h,Rep1
146,Bacillus_SCH24,Cellulosimicrobium_BM1,0,Bacillus_SCH24,Cellulosimicrobium_BM1,0,0,0,Identical,,Bacillus_SCH24,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Rep1
150,Bacillus_SCH24,Chryseobacterium_SCH11,0,Bacillus_SCH24,Chryseobacterium_SCH11,0,0,0,Identical,,Bacillus_SCH24,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Rep1
149,Bacillus_SCH24,Dyadobacter_BM9,1,Bacillus_SCH24,Dyadobacter_BM9,1,0,-1,CloseEnough,,Bacillus_SCH24,Dyadobacter_BM9,R2A-96h,R2A,96h,Rep1
141,Bacillus_SCH24,Ensifer_sp,0,Bacillus_SCH24,Ensifer_sp,0,0,0,Identical,,Bacillus_SCH24,Ensifer_sp,R2A-96h,R2A,96h,Rep1
144,Bacillus_SCH24,Exiguobacterium_RDH25,1,Bacillus_SCH24,Exiguobacterium_RDH25,1,0,-1,CloseEnough,,Bacillus_SCH24,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Rep1
137,Bacillus_SCH24,Luteibacter_BM7,0,Bacillus_SCH24,Luteibacter_BM7,0,0,0,Identical,,Bacillus_SCH24,Luteibacter_BM7,R2A-96h,R2A,96h,Rep1
139,Bacillus_SCH24,Massilia_sp,-1,Bacillus_SCH24,Massilia_sp,-1,0,1,CloseEnough,,Bacillus_SCH24,Massilia_sp,R2A-96h,R2A,96h,Rep1
142,Bacillus_SCH24,Methylobacterium_RPE3,0,Bacillus_SCH24,Methylobacterium_RPE3,0,0,0,Identical,,Bacillus_SCH24,Methylobacterium_RPE3,R2A-96h,R2A,96h,Rep1
147,Bacillus_SCH24,Microbacterium_BM4,0,Bacillus_SCH24,Microbacterium_BM4,0,0,0,Identical,,Bacillus_SCH24,Microbacterium_BM4,R2A-96h,R2A,96h,Rep1
136,Bacillus_SCH24,Pseudomonas_putida_KT2442,-1,Bacillus_SCH24,Pseudomonas_putida_KT2442,-1,-1,0,Identical,,Bacillus_SCH24,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Rep1
143,Bacillus_SCH24,Sphingobium_Z2,0,Bacillus_SCH24,Sphingobium_Z2,0,0,0,Identical,,Bacillus_SCH24,Sphingobium_Z2,R2A-96h,R2A,96h,Rep1
148,Bacillus_SCH24,Streptomyces_RCH20P,-7,Bacillus_SCH24,Streptomyces_RCH20P,-7,-5,2,CloseEnough,,Bacillus_SCH24,Streptomyces_RCH20P,R2A-96h,R2A,96h,Rep1
138,Bacillus_SCH24,Variovax_RPC5,0,Bacillus_SCH24,Variovax_RPC5,0,0,0,Identical,,Bacillus_SCH24,Variovax_RPC5,R2A-96h,R2A,96h,Rep1
70,Burkholderia_RCH25,Bacillus_SCH24,0,Burkholderia_RCH25,Bacillus_SCH24,0,0,0,Identical,,Burkholderia_RCH25,Bacillus_SCH24,R2A-96h,R2A,96h,Rep1
65,Burkholderia_RCH25,Burkholderia_RCH25,0,Burkholderia_RCH25,Burkholderia_RCH25,0,0,0,Identical,,Burkholderia_RCH25,Burkholderia_RCH25,R2A-96h,R2A,96h,Rep1
71,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,0,0,Identical,,Burkholderia_RCH25,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Rep1
75,Burkholderia_RCH25,Chryseobacterium_SCH11,0,Burkholderia_RCH25,Chryseobacterium_SCH11,0,0,0,Identical,,Burkholderia_RCH25,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Rep1
74,Burkholderia_RCH25,Dyadobacter_BM9,0,Burkholderia_RCH25,Dyadobacter_BM9,0,0,0,Identical,,Burkholderia_RCH25,Dyadobacter_BM9,R2A-96h,R2A,96h,Rep1
66,Burkholderia_RCH25,Ensifer_sp,-2,Burkholderia_RCH25,Ensifer_sp,-2,0,2,CloseEnough,,Burkholderia_RCH25,Ensifer_sp,R2A-96h,R2A,96h,Rep1
69,Burkholderia_RCH25,Exiguobacterium_RDH25,0,Burkholderia_RCH25,Exiguobacterium_RDH25,0,0,0,Identical,,Burkholderia_RCH25,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Rep1
62,Burkholderia_RCH25,Luteibacter_BM7,0,Burkholderia_RCH25,Luteibacter_BM7,0,0,0,Identical,,Burkholderia_RCH25,Luteibacter_BM7,R2A-96h,R2A,96h,Rep1
64,Burkholderia_RCH25,Massilia_sp,0,Burkholderia_RCH25,Massilia_sp,0,0,0,Identical,,Burkholderia_RCH25,Massilia_sp,R2A-96h,R2A,96h,Rep1
67,Burkholderia_RCH25,Methylobacterium_RPE3,0,Burkholderia_RCH25,Methylobacterium_RPE3,0,0,0,Identical,,Burkholderia_RCH25,Methylobacterium_RPE3,R2A-96h,R2A,96h,Rep1
72,Burkholderia_RCH25,Microbacterium_BM4,0,Burkholderia_RCH25,Microbacterium_BM4,0,0,0,Identical,,Burkholderia_RCH25,Microbacterium_BM4,R2A-96h,R2A,96h,Rep1
61,Burkholderia_RCH25,Pseudomonas_putida_KT2442,-1,Burkholderia_RCH25,Pseudomonas_putida_KT2442,-1,-2,-1,CloseEnough,,Burkholderia_RCH25,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Rep1
68,Burkholderia_RCH25,Sphingobium_Z2,0,Burkholderia_RCH25,Sphingobium_Z2,0,0,0,Identical,,Burkholderia_RCH25,Sphingobium_Z2,R2A-96h,R2A,96h,Rep1
73,Burkholderia_RCH25,Streptomyces_RCH20P,-1,Burkholderia_RCH25,Streptomyces_RCH20P,-1,0,1,CloseEnough,,Burkholderia_RCH25,Streptomyces_RCH20P,R2A-96h,R2A,96h,Rep1
63,Burkholderia_RCH25,Variovax_RPC5,0,Burkholderia_RCH25,Variovax_RPC5,0,0,0,Identical,,Burkholderia_RCH25,Variovax_RPC5,R2A-96h,R2A,96h,Rep1
160,Cellulosimicrobium_BM1,Bacillus_SCH24,0,Cellulosimicrobium_BM1,Bacillus_SCH24,0,0,0,Identical,,Cellulosimicrobium_BM1,Bacillus_SCH24,R2A-96h,R2A,96h,Rep1
155,Cellulosimicrobium_BM1,Burkholderia_RCH25,-1,Cellulosimicrobium_BM1,Burkholderia_RCH25,-1,-4,-3,BigDiff,,Cellulosimicrobium_BM1,Burkholderia_RCH25,R2A-96h,R2A,96h,Rep1
161,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,0,0,Identical,,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,R2A-96h,R2A,96h,Rep1
165,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,0,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,0,0,0,Identical,,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,R2A-96h,R2A,96h,Rep1
164,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,0,0,Identical,,Cellulosimicrobium_BM1,Dyadobacter_BM9,R2A-96h,R2A,96h,Rep1
156,Cellulosimicrobium_BM1,Ensifer_sp,0,Cellulosimicrobium_BM1,Ensifer_sp,0,0,0,Identical,,Cellulosimicrobium_BM1,Ensifer_sp,R2A-96h,R2A,96h,Rep1
159,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,0,0,Identical,,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,R2A-96h,R2A,96h,Rep1
152,Cellulosimicrobium_BM1,Luteibacter_BM7,0,Cellulosimicrobium_BM1,Luteibacter_BM7,0,0,0,Identical,,Cellulosimicrobium_BM1,Luteibacter_BM7,R2A-96h,R2A,96h,Rep1
154,Cellulosimicrobium_BM1,Massilia_sp,0,Cellulosimicrobium_BM1,Massilia_sp,0,0,0,Identical,,Cellulosimicrobium_BM1,Massilia_sp,R2A-96h,R2A,96h,Rep1
157,Cellulosimicrobium_BM1,Methylobacterium_RPE3,0,Cellulosimicrobium_BM1,Methylobacterium_RPE3,0,0,0,Identical,,Cellulosimicrobium_BM1,Methylobacterium_RPE3,R2A-96h,R2A,96h,Rep1
162,Cellulosimicrobium_BM1,Microbacterium_BM4,0,Cellulosimicrobium_BM1,Microbacterium_BM4,0,0,0,Identical,,Cellulosimicrobium_BM1,Microbacterium_BM4,R2A-96h,R2A,96h,Rep1
151,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,0,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,0,0,0,Identical,,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,R2A-96h,R2A,96h,Rep1
158,Cellulosimicrobium_BM1,Sphingobium_Z2,0,Cellulosimicrobium_BM1,Sphingobium_Z2,0,0,0,Identical,,Cellulosimicrobium_BM1,Sphingobium_Z2,R2A-96h,R2A,96h,Rep1
163,Cellulosimicrobium_BM1,Streptomyces_RCH20P,-4,Cellulosimicrobium_BM1,Streptomyces_RCH20P,-4,-4,0,Identical,,Cellulosimicrobium_BM1,Streptomyces_RCH20P,R2A-96h,R2A,96h,Rep1
153,Cellulosimicrobium_BM1,Variovax_RPC5,0,Cellulosimicrobium_BM1,Variovax_RPC5,0,0,0,Identical,,Cellulosimicrobium_BM1,Variovax_RPC5,R2A-96h,R2A,96h,Rep1
220,Chryseobacterium_SCH11,Bacillus_SCH24,3,Chryseobacterium_SCH11,Bacillus_SCH24,3,-2,-5,FLIP,,Chryseobacterium_SCH11,Bacillus_SCH24,R2A-96h,R2A,96h,Rep1
