Strain_ID,Pseudomonas_putida_KT2442,Burkholderia_RCH25,Massilia_sp,Streptomyces_RCH20P,Variovax_RPC5,Methylobacterium_RPE3,Chryseobacterium_SCH11,Dyadobacter_BM9,Exiguobacterium_RDH25,Bacillus_SCH24,Paenibacillus_E12,Sphingobium_Z2,Ensifer_BM17,Microbacterium_BM4,Luteibacter_BM7,Cellulosimicrobium_BM1
Pseudomonas_putida_KT2442,0,0,0,0,-3,0,0,0,8,0,0,0,0,0,0,0
Burkholderia_RCH25,0,0,0,0,0,2,0,0,-1,0,-1,0,0,0,0,-2
Massilia_sp,0,0,0,-1,0,-1,0,0,-1,0,1,0,0,0,0,0
Streptomyces_RCH20P,-1,-10,-4,-1,3,-10,2,0,1,-8,0,0,0,0,0,1
Variovax_RPC5,-1,-1,1,-10,0,-5,-2,0,-2,-7,-2,-1,-1,-1,0,0
Methylobacterium_RPE3,-2,0,-2,-7,1,0,-2,-2,0,1,0,1,0,0,-3,-3
Chryseobacterium_SCH11,0,-1,1,-2,-1,-3,-1,-1,-1,-2,-1,0,0,-1,0,0
Dyadobacter_BM9,0,-1,0,-10,-6,0,0,0,-2,-2,0,0,0,0,0,0
Exiguobacterium_RDH25,0,0,2,0,0,-2,1,0,0,-2,0,0,0,0,0,0
Bacillus_SCH24,2,2,1,-6,1,0,-2,-2,2,1,7,1,0,0,0,1
Paenibacillus_E12,0,0,0,-6,0,0,0,0,-2,4,2,1,0,0,5,4
Sphingobium_Z2,0,0,0,-6,0,0,-2,0,0,-1,0,0,0,0,0,0
Ensifer_BM17,8,-4,5,3,0,0,0,0,1,0,2,-2,-1,-1,0,0
Microbacterium_BM4,0,-2,4,-6,-3,0,0,0,0,-2,-1,0,0,0,0,1
Luteibacter_BM7,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Cellulosimicrobium_BM1,0,-1,4,-3,0,0,0,0,0,0,0,0,0,0,1,0
