Strain_ID,Pseudomonas_putida_KT2442,Luteibacter_BM7,Variovax_RPC5,Massilia_sp,Burkholderia_RCH25,Ensifer_sp,Methylobacterium_RPE3,Sphingobium_Z2,Exiguobacterium_RDH25,Bacillus_SCH24,Cellulosimicrobium_BM1,Microbacterium_BM4,Streptomyces_RCH20P,Dyadobacter_BM9,Chryseobacterium_SCH11
Pseudomonas_putida_KT2442,0,0,0,0,0,-1,0,NA,NA,NA,0,0,0,0,0
Luteibacter_BM7,-1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0
Variovax_RPC5,-1,1,-3,4,-6,2,2,1,1,-3,1,-1,1,-2,-2
Massilia_sp,-2,0,0,-1,-1,-1,0,0,0,-2,-1,0,-1,0,0
Burkholderia_RCH25,-1,0,0,0,0,-2,0,0,0,0,0,0,-1,0,0
Ensifer_sp,-2,-8,0,1,-3,0,0,2,0,-10,0,1,-1,0,-2
Methylobacterium_RPE3,0,0,0,-5,-4,0,0,0,0,0,0,0,0,0,0
Sphingobium_Z2,-1,0,0,0,-2,0,0,0,0,0,10,-1,0,0,0
Exiguobacterium_RDH25,-1,0,0,0,0,0,0,0,0,-2,0,0,-1,0,0
Bacillus_SCH24,-1,0,0,-1,-3,0,0,0,1,0,0,0,-7,1,0
Cellulosimicrobium_BM1,0,0,0,0,-1,0,0,0,0,0,0,0,-4,0,0
Microbacterium_BM4,-3,0,1,2,-4,0,0,-4,0,-2,-1,0,-7,0,0
Streptomyces_RCH20P,-1,0,2,-1,-10,1,0,0,0,-2,0,0,0,0,0
Dyadobacter_BM9,0,0,0,3,-4,0,0,0,0,0,0,-1,-6,0,-1
Chryseobacterium_SCH11,-1,0,-2,1,-1,0,0,0,0,3,0,-1,-1,0,0
