Strain_ID,KT2442,RDP22,RDP27,E5,RPE1_RP5,PAO1,Pf5,RPA1,BM7,BM12,BM25,R23,S20,BM17,E15,BM23,E4,Z2,RCH3,RP5C,BM21,RCH25,RDH20,RDH25,SCH24,SH11,RCH20P,BM16,R1,RDH1,BM13,BM1,SCH4,RDH6,RP5H,SCH11,ReceiverDegree,,,Strain_ID,ReceiverDegree,SenderDegree
KT2442,NA,0,-1,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,6,,,KT2442,6,31
RDP22,-4,NA,0,10,5,10,10,7,0,0,0,0,0,-1,-2,0,-2,0,0,0,6,6,10,0,-5,-10,0,0,0,-5,0,2,0,0,0,5,7,,,RDP22,7,15
RDP27,-3,0,NA,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,0,0,-3,-5,0,0,0,0,0,0,0,-2,0,0,7,,,RDP27,7,28
E5,-2,0,0,NA,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,6,,,E5,6,31
RPE1_RP5,-2,0,-5,-3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,RPE1_RP5,5,26
PAO1,-3,0,-2,-2,-2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,8,,,PAO1,8,30
Pf5,-2,0,-3,-3,-3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,Pf5,6,29
RPA1,-1,0,-2,-2,0,-3,-2,NA,0,0,0,0,0,0,0,0,-2,0,0,-1,-1,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,10,,,RPA1,10,14
BM7,-7,-3,-1,-6,-7,-7,-8,-3,NA,0,-2,0,0,-2,-2,-3,-2,-1,-1,-2,10,10,0,0,0,-2,-2,0,0,-10,3,0,-2,-3,-1,-3,23,,,BM7,23,2
BM12,-7,-3,-8,-8,-8,-10,-10,-10,0,NA,0,0,0,0,-2,-4,-2,0,0,-2,-3,-5,1,0,0,-2,0,0,0,0,0,0,-1,0,0,0,16,,,BM12,16,1
BM25,0,2,3,-3,-2,-3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,BM25,3,10
R23,-3,0,-5,-6,-6,-8,-7,-6,-1,-1,-1,NA,-2,-6,-6,0,0,-1,-1,-4,-6,-6,2,2,0,-3,-1,-2,-3,-2,0,0,0,-3,0,-2,25,,,R23,25,0
S20,-2,2,-1,-5,-3,-4,-4,-1,0,0,-1,0,NA,-2,-2,0,0,-1,-1,-3,-2,-2,-1,-1,0,-3,-1,0,-1,-1,0,0,0,-1,-1,0,23,,,S20,23,1
BM17,-4,-3,-3,-3,-3,-4,-4,0,0,0,-2,0,0,NA,-4,-4,-1,0,0,0,-4,-2,0,0,0,-1,0,0,0,0,0,0,-3,-2,0,1,16,,,BM17,16,11
E15,-6,0,-3,-3,-1,-2,-2,0,0,0,0,0,0,0,NA,-4,-1,0,0,0,-8,-8,0,0,0,0,0,0,0,0,0,0,3,-2,0,2,11,,,E15,11,11
BM23,-7,-3,-7,-7,-8,-6,-7,-10,0,0,-3,0,0,-3,0,NA,-3,0,0,-10,-10,-10,-1,-1,-3,-2,0,2,0,0,0,0,0,-1,-1,0,20,,,BM23,20,6
E4,0,0,3,3,2,-1,-1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,3,,,E4,3,12
Z2,-3,0,-1,-7,-5,-4,-9,-2,0,0,-2,0,0,2,2,2,0,NA,NA,-1,-3,-3,0,0,0,NA,-1,0,NA,-1,2,0,0,-1,0,0,14,,,Z2,14,4
RCH3,-3,0,-1,-3,-3,-3,-8,-1,0,0,-2,0,0,0,0,0,0,-3,NA,0,-2,-3,2,2,0,-10,0,0,-2,0,0,0,0,-1,0,0,14,,,RCH3,14,4
RP5C,-1,7,-1,-5,-7,-4,-4,0,0,0,0,0,3,-10,-2,0,0,0,-3,NA,-4,-4,1,1,-2,-8,-1,0,-2,-1,2,4,0,-2,0,0,17,,,RP5C,17,15
BM21,-1,-1,-2,-1,-1,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-4,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,9,,,BM21,9,24
RCH25,-1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,2,2,0,0,0,0,0,0,4,0,0,0,0,0,8,,,RCH25,8,24
RDH20,-1,-3,-7,-10,0,-3,-3,0,0,1,1,0,0,0,0,0,0,0,0,0,-4,-4,NA,-1,-1,-2,0,0,0,0,-1,0,0,-1,0,-1,14,,,RDH20,14,4
RDH25,-2,2,3,-1,0,-2,-2,0,0,1,3,1,1,0,0,0,0,1,1,-2,2,2,0,NA,-1,-2,0,0,3,0,0,0,0,0,0,-1,8,,,RDH25,8,5
SCH24,-5,1,3,-5,0,-5,-4,0,-5,5,0,2,2,0,-2,0,2,1,2,-9,-7,-6,0,0,NA,-5,0,0,3,-2,0,0,0,2,0,-3,12,,,SCH24,12,18
